Player,Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Chris Boswell,Pittsburgh Steelers,31,33,93.9,0/0,9/9,7/7,6/6,9/10,0/1,57,0
Ka'imi Fairbairn,Houston Texans,26,31,83.9,0/0,4/5,8/8,3/4,11/14,0/0,59,0
Austin Seibert,Washington Commanders,25,27,92.6,0/0,10/10,7/7,7/7,1/3,0/0,55,1
Brandon Aubrey,Dallas Cowboys,23,26,88.5,0/0,2/2,4/5,7/8,8/9,2/2,65,1
Cameron Dicker,Los Angeles Chargers,21,23,91.3,1/1,7/7,2/2,6/7,5/6,0/0,59,0
Tyler Bass,Buffalo Bills,19,22,86.4,0/0,6/6,6/6,5/8,1/1,1/1,61,0
Matt Gay,Indianapolis Colts,19,22,86.4,0/0,5/5,7/7,4/4,3/6,0/0,56,0
Younghoe Koo,Atlanta Falcons,19,26,73.1,0/0,4/4,5/6,4/7,6/9,0/0,58,2
Wil Lutz,Denver Broncos,19,22,86.4,0/0,1/1,8/9,8/8,2/3,0/1,52,1
Jason Sanders,Miami Dolphins,19,23,82.6,0/0,3/3,7/7,3/5,6/8,0/0,56,0
Joey Slye,New England Patriots,19,22,86.4,0/0,5/5,8/9,3/4,2/3,1/1,63,1
Harrison Butker,Kansas City Chiefs,18,20,90.0,1/1,6/6,6/6,3/3,2/3,0/1,53,0
Daniel Carlson,Las Vegas Raiders,18,20,90.0,0/0,5/5,6/6,3/4,4/5,0/0,54,0
Blake Grupe,New Orleans Saints,18,19,94.7,0/0,4/4,6/6,5/6,3/3,0/0,57,0
Jake Moody,San Francisco 49ers,17,21,81.0,0/0,7/7,4/4,4/6,2/4,0/0,53,0
Joshua Karty,Los Angeles Rams,16,20,80.0,0/0,5/6,6/7,2/3,3/4,0/0,55,0
Chase McLaughlin,Tampa Bay Buccaneers,16,17,94.1,0/0,5/5,4/4,1/1,6/7,0/0,56,0
Justin Tucker,Baltimore Ravens,16,22,72.7,0/0,3/3,6/6,4/6,3/7,0/0,56,0
Jake Bates,Detroit Lions,15,15,100.0,0/0,3/3,5/5,3/3,4/4,0/0,58,0
Dustin Hopkins,Cleveland Browns,15,21,71.4,0/0,1/2,6/6,4/5,4/8,0/0,56,1
Cam Little,Jacksonville Jaguars,15,16,93.8,0/0,4/4,4/4,4/5,3/3,0/0,59,0
Evan McPherson,Cincinnati Bengals,15,21,71.4,0/0,6/6,3/3,3/5,3/7,0/0,56,0
Jake Elliott,Philadelphia Eagles,14,19,73.7,0/0,4/4,5/5,5/6,0/3,0/1,49,1
Nick Folk,Tennessee Titans,14,15,93.3,0/0,5/5,1/1,5/6,3/3,0/0,53,0
Jason Myers,Seattle Seahawks,14,17,82.4,0/0,2/2,4/4,3/4,5/6,0/1,59,1
Will Reichard,Minnesota Vikings,14,16,87.5,0/0,3/3,4/5,3/3,4/5,0/0,58,0
Cairo Santos,Chicago Bears,14,17,82.4,0/0,3/3,2/2,2/4,7/8,0/0,54,2
Greg Joseph,Detroit Lions,13,16,81.2,0/0,3/3,5/5,4/7,1/1,0/0,52,0
Brayden Narveson,Green Bay Packers,12,17,70.6,0/0,4/4,3/4,5/9,0/0,0/0,47,0
Eddy Pineiro,Carolina Panthers,12,13,92.3,0/0,3/3,3/3,5/6,1/1,0/0,53,0
Chad Ryland,Arizona Cardinals,11,12,91.7,0/0,1/1,6/6,2/3,2/2,0/0,57,1
Greg Zuerlein,New York Jets,9,15,60.0,0/0,4/4,4/6,1/4,0/1,0/0,40,1
Anders Carlson,San Francisco 49ers,7,7,100.0,0/0,1/1,1/1,2/2,3/3,0/0,58,0
Brandon McManus,Green Bay Packers,6,7,85.7,0/0,1/1,4/4,1/2,0/0,0/0,45,0
Matt Prater,Arizona Cardinals,6,6,100.0,0/0,1/1,1/1,3/3,1/1,0/0,57,0
John Parker Romo,Minnesota Vikings,5,5,100.0,0/0,1/1,2/2,2/2,0/0,0/0,45,0
Graham Gano,New York Giants,3,4,75.0,0/0,1/1,0/0,1/2,1/1,0/0,50,0
Zane Gonzalez,Washington Commanders,3,3,100.0,0/0,0/0,0/0,3/3,0/0,0/0,48,0
Matthew Wright,San Francisco 49ers,3,3,100.0,0/0,1/1,1/1,1/1,0/0,0/0,41,0
Spencer Shrader,Indianapolis Colts,2,2,100.0,0/0,1/1,0/0,1/1,0/0,0/0,45,0
Jude McAtamney,New York Giants,1,1,100.0,0/0,0/0,1/1,0/0,0/0,0/0,31,0
Mitch Wishnowsky,San Francisco 49ers,1,1,100.0,0/0,1/1,0/0,0/0,0/0,0/0,26,0
Jamie Gillan,New York Giants,0,0,0.0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Riley Patterson,New York Jets,0,0,0.0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Cade York,Washington Commanders,0,2,0.0,0/0,0/0,0/0,0/1,0/1,0/0,0,0
