Player,Team,INT,INT TD,INT Yds,Lng
Kerby Joseph,Detroit Lions,7,1,60,33
Xavier McKinney,Green Bay Packers,7,0,111,48
Byron Murphy,Minnesota Vikings,6,0,2,2
Marlon Humphrey,Baltimore Ravens,5,0,0,0
Donte Jackson,Pittsburgh Steelers,5,0,88,49
Brian Branch,Detroit Lions,4,0,48,47
Calen Bullock,Houston Texans,4,0,28,28
Amani Hooker,Tennessee Titans,4,0,49,30
Jaylen McCollough,Los Angeles Rams,4,1,6,4
Paulson Adebo,New Orleans Saints,3,0,68,47
Beanie Bishop Jr.,Pittsburgh Steelers,3,0,46,41
Reed Blankenship,Philadelphia Eagles,3,0,1,1
Coby Bryant,Seattle Seahawks,3,1,87,69
Camryn Bynum,Minnesota Vikings,3,0,3,3
C.J. Gardner-Johnson,Philadelphia Eagles,3,0,15,15
Kamren Kinchens,Los Angeles Rams,3,1,112,103
Kamari Lassiter,Houston Texans,3,0,9,9
Tyrann Mathieu,New Orleans Saints,3,0,29,23
Elijah Molden,Los Angeles Chargers,3,0,28,25
Tarheeb Still,Los Angeles Chargers,3,1,67,61
Derek Stingley Jr.,Houston Texans,3,0,38,31
Pat Surtain II,Denver Broncos,3,1,128,100
Xavier Woods,Carolina Panthers,3,0,70,33
Jaire Alexander,Green Bay Packers,2,1,52,35
Cody Barton,Denver Broncos,2,0,71,56
Jessie Bates,Atlanta Falcons,2,0,0,0
Terrel Bernard,Buffalo Bills,2,0,1,1
Julian Blackmon,Indianapolis Colts,2,0,17,17
Chamarri Conner,Kansas City Chiefs,2,0,32,29
Nick Cross,Indianapolis Colts,2,0,20,20
Carlton Davis,Detroit Lions,2,0,0,0
Trevon Diggs,Dallas Cowboys,2,0,1,1
Brandin Echols,New York Jets,2,0,0,0
Christian Gonzalez,New England Patriots,2,0,2,2
Shaquill Griffin,Minnesota Vikings,2,0,28,28
Kamu Grugier-Hill,Minnesota Vikings,2,0,5,5
Damar Hamlin,Buffalo Bills,2,0,19,19
Malik Hooker,Dallas Cowboys,2,0,20,21
Ja'Marcus Ingram,Buffalo Bills,2,1,56,31
Austin Johnson,Buffalo Bills,2,0,9,5
Jaylon Johnson,Chicago Bears,2,0,11,9
Taron Johnson,Buffalo Bills,2,1,23,23
Brandon Jones,Denver Broncos,2,0,74,37
Jack Jones,Las Vegas Raiders,2,1,53,29
Jaylon Jones,Chicago Bears,2,0,5,5
Deommodore Lenoir,San Francisco 49ers,2,0,33,33
Julian Love,Seattle Seahawks,2,0,26,26
Zyon McCollum,Tampa Bay Buccaneers,2,0,4,4
Ja'Quan McMillian,Denver Broncos,2,1,44,44
Josh Metellus,Minnesota Vikings,2,0,16,12
Tre'von Moehrig,Las Vegas Raiders,2,0,28,16
Jalen Ramsey,Miami Dolphins,2,0,7,7
Taylor Rapp,Buffalo Bills,2,0,5,5
Harrison Smith,Minnesota Vikings,2,0,0,0
Tykee Smith,Tampa Bay Buccaneers,2,0,0,0
Geno Stone,Cincinnati Bengals,2,0,49,49
Cam Taylor-Britt,Cincinnati Bengals,2,1,51,51
A.J. Terrell,Atlanta Falcons,2,0,1,1
Andrew Van Ginkel,Minnesota Vikings,2,2,73,63
Denzel Ward,Cleveland Browns,2,0,0,0
Jimmie Ward,Houston Texans,2,1,67,65
Fred Warner,San Francisco 49ers,2,1,70,45
Garrett Williams,Arizona Cardinals,2,0,0,0
Riq Woolen,Seattle Seahawks,2,0,4,4
Johnathan Abram,New Orleans Saints,1,0,30,30
Troy Andersen,Atlanta Falcons,1,1,47,47
Chidobe Awuzie,Tennessee Titans,1,0,8,8
Zack Baun,Philadelphia Eagles,1,0,0,0
Vonn Bell,Cincinnati Bengals,1,0,32,32
Christian Benford,Buffalo Bills,1,0,6,6
Keeanu Benton,Pittsburgh Steelers,1,0,11,11
Josh Blackwell,Chicago Bears,1,0,10,10
Nik Bonitto,Denver Broncos,1,1,71,71
Nick Bosa,San Francisco 49ers,1,0,30,30
Jaquan Brisker,Chicago Bears,1,0,0,0
Ji'Ayir Brown,San Francisco 49ers,1,0,0,0
Montaric Brown,Jacksonville Jaguars,1,0,0,0
Jarvis Brownlee Jr.,Tennessee Titans,1,0,2,2
Sean Murphy-Bunting,Arizona Cardinals,1,0,0,0
Kevin Byard,Chicago Bears,1,0,0,0
K'Lavon Chaisson,Las Vegas Raiders,1,0,0,0
Jeremy Chinn,Washington Commanders,1,0,0,0
Andre Cisco,Jacksonville Jaguars,1,0,22,22
Bryan Cook,Kansas City Chiefs,1,0,0,0
Lavonte David,Tampa Bay Buccaneers,1,0,7,7
Demario Davis,New Orleans Saints,1,0,0,0
Kalia Davis,San Francisco 49ers,1,0,2,2
Akeem Davis-Gaither,Cincinnati Bengals,1,0,12,12
Nakobe Dean,Philadelphia Eagles,1,0,0,0
Tyrel Dodson,Miami Dolphins,1,0,0,0
Bud Dupree,Los Angeles Chargers,1,0,0,0
Cobie Durant,Los Angeles Rams,1,0,0,0
Tremaine Edmunds,Chicago Bears,1,0,0,0
T.J. Edwards,Chicago Bears,1,0,0,0
DeShon Elliott,Pittsburgh Steelers,1,0,0,0
Christian Elliss,New England Patriots,1,0,6,6
Demetrius Flannigan-Fowles,San Francisco 49ers,1,0,0,0
Emmanuel Forbes,Los Angeles Rams,1,0,19,19
Poona Ford,Los Angeles Chargers,1,0,3,3
Dante Fowler Jr.,Washington Commanders,1,1,67,67
Zaire Franklin,Indianapolis Colts,1,0,0,0
Kristian Fulton,Los Angeles Chargers,1,0,29,29
Dennis Gardeck,Arizona Cardinals,1,0,10,10
Alohi Gilman,Los Angeles Chargers,1,0,18,18
Stephon Gilmore,Minnesota Vikings,1,0,0,0
Chauncey Golston,Dallas Cowboys,1,0,18,18
Renardo Green,San Francisco 49ers,1,0,20,20
Johnathan Hankins,Seattle Seahawks,1,0,0,0
Will Harris,New Orleans Saints,1,0,7,7
Tre Hawkins III,New York Giants,1,0,0,0
Neville Hewitt,Houston Texans,1,0,45,45
Jaden Hicks,Kansas City Chiefs,1,0,0,0
Nate Hobbs,Las Vegas Raiders,1,0,35,35
Jaycee Horn,Carolina Panthers,1,0,0,0
Jordan Howden,New Orleans Saints,1,0,-5,-5
Sam Hubbard,Cincinnati Bengals,1,0,0,0
Christian Izien,Tampa Bay Buccaneers,1,0,17,17
Mike Jackson,Carolina Panthers,1,0,1,1
Derwin James,Los Angeles Chargers,1,0,2,2
Shemar Jean-Charles,New Orleans Saints,1,0,0,0
Josey Jewell,Carolina Panthers,1,0,0,0
Josh Jobe,Seattle Seahawks,1,0,33,33
John Johnson,Los Angeles Rams,1,0,0,0
Ernest Jones,Seattle Seahawks,1,0,12,12
Jarrian Jones,Jacksonville Jaguars,1,0,0,0
Marcus Jones,New England Patriots,1,0,35,35
Cameron Jordan,New Orleans Saints,1,0,0,0
Damontae Kazee,Pittsburgh Steelers,1,0,5,5
Eric Kendricks,Dallas Cowboys,1,0,8,8
Kader Kohou,Miami Dolphins,1,0,2,2
Marcus Maye,Los Angeles Chargers,1,0,0,0
Kenny Moore II,Indianapolis Colts,1,0,12,12
Riley Moss,Denver Broncos,1,0,0,0
Darius Muasau,New York Giants,1,0,1,1
Israel Mukuamu,Dallas Cowboys,1,0,5,5
"Kenneth Murray, Jr.",Tennessee Titans,1,0,6,6
Eric Murray,Houston Texans,1,0,0,0
Malik Mustapha,San Francisco 49ers,1,0,1,1
Greg Newsome II,Cleveland Browns,1,0,-2,-2
Keisean Nixon,Green Bay Packers,1,0,16,16
Trevor Nowaske,Detroit Lions,1,0,8,8
Emmanuel Ogbah,Miami Dolphins,1,0,0,0
Foye Oluokun,Jacksonville Jaguars,1,0,0,0
Amani Oruwariye,Dallas Cowboys,1,0,0,0
DeMarvion Overshown,Dallas Cowboys,1,1,23,23
Jonathan Owens,Chicago Bears,1,0,0,0
Jeremiah Owusu-Koramoah,Cleveland Browns,1,0,0,0
Jabrill Peppers,New England Patriots,1,0,0,0
Clark Phillips III,Atlanta Falcons,1,0,45,45
James Pierre,Pittsburgh Steelers,1,0,18,18
Jalen Pitre,Houston Texans,1,0,10,10
Joey Porter Jr.,Pittsburgh Steelers,1,0,16,16
Germaine Pratt,Cincinnati Bengals,1,0,24,24
Otis Reese,Tennessee Titans,1,0,2,2
Justin Reid,Kansas City Chiefs,1,0,8,8
Christian Roland-Wallace,Kansas City Chiefs,1,0,0,0
Christian Rozeboom,Los Angeles Rams,1,0,16,16
Mike Sainristil,Washington Commanders,1,0,38,38
Khalen Saunders,New Orleans Saints,1,0,37,37
Darnell Savage,Jacksonville Jaguars,1,0,16,16
Zach Sieler,Miami Dolphins,1,0,0,0
Justin Simmons,Atlanta Falcons,1,0,0,0
Alex Singleton,Denver Broncos,1,0,21,21
Roquan Smith,Baltimore Ravens,1,0,0,0
Terell Smith,Chicago Bears,1,0,23,23
Chau Smith-Wade,Carolina Panthers,1,0,3,3
E.J. Speed,Indianapolis Colts,1,0,12,12
Robert Spillane,Las Vegas Raiders,1,0,0,0
Tyrique Stevenson,Chicago Bears,1,1,43,43
Teair Tart,Los Angeles Chargers,1,0,4,4
Jahlani Tavai,New England Patriots,1,0,0,0
Henry To'oTo'o,Houston Texans,1,0,0,0
Cory Trice Jr.,Pittsburgh Steelers,1,0,0,0
Anthony Walker,Miami Dolphins,1,0,5,5
Ar'Darius Washington,Baltimore Ravens,1,0,1,1
Kyzir White,Arizona Cardinals,1,0,0,0
Donovan Wilson,Dallas Cowboys,1,0,0,0
Evan Williams,Green Bay Packers,1,0,1,1
Leonard Williams,Seattle Seahawks,1,1,92,92
Eric Wilson,Green Bay Packers,1,0,0,0
Mack Wilson,Arizona Cardinals,1,0,0,0
Payton Wilson,Pittsburgh Steelers,1,0,0,0
Isaac Yiadom,San Francisco 49ers,1,0,11,11
Jaylen Watson,Kansas City Chiefs,0,0,12,12
