Player,Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Kene Nwangwu,New York Jets,52.3,3,157,1,3,1,99,0,0
Taysom Hill,New Orleans Saints,42.0,1,42,0,1,1,42,0,0
Charlie Jones,Cincinnati Bengals,40.0,5,200,1,4,1,100,0,1
Khalil Dorsey,Detroit Lions,39.8,4,159,0,4,1,72,0,0
Ashton Dulin,Indianapolis Colts,39.3,3,118,0,3,2,55,0,0
Dameon Pierce,Houston Texans,37.1,7,260,0,6,3,80,0,0
KaVontae Turpin,Dallas Cowboys,36.3,21,762,1,19,4,99,0,0
Kendre Miller,New Orleans Saints,36.0,2,72,0,2,1,41,0,0
Isaiah Williams,Cincinnati Bengals,36.0,1,36,0,1,0,36,0,0
Hassan Haskins,Los Angeles Chargers,35.0,1,35,0,1,0,35,0,0
Ameer Abdullah,Las Vegas Raiders,32.9,9,296,0,9,1,68,0,0
Samaje Perine,Kansas City Chiefs,32.6,5,163,0,5,1,56,0,0
Tank Bigsby,Jacksonville Jaguars,32.5,6,195,0,6,2,41,0,1
De'Von Achane,Miami Dolphins,32.0,1,32,0,1,0,32,0,0
Ty Johnson,Buffalo Bills,32.0,1,32,0,1,0,32,0,0
DeAndre Carter,Chicago Bears,31.9,15,479,0,15,2,67,0,0
Dylan Laube,Las Vegas Raiders,31.7,3,95,0,2,1,59,0,0
Austin Ekeler,Washington Commanders,31.3,19,594,0,19,1,62,0,1
Rasheen Ali,Baltimore Ravens,31.0,2,62,0,2,0,38,0,0
Khalil Herbert,Chicago Bears,31.0,4,124,0,4,0,35,0,0
Justice Hill,Baltimore Ravens,31.0,4,124,0,4,0,37,0,0
DeeJay Dallas,Arizona Cardinals,30.6,15,459,1,14,1,96,1,1
Deebo Samuel Sr.,San Francisco 49ers,30.3,11,333,0,11,2,60,0,1
Dallis Flowers,Indianapolis Colts,30.0,1,30,0,1,0,30,0,0
Derius Davis,Los Angeles Chargers,29.6,11,325,0,9,2,56,0,0
Bucky Irving,Tampa Bay Buccaneers,29.3,6,176,0,6,1,46,0,0
Dee Eskridge,Miami Dolphins,29.2,5,146,0,5,0,35,0,0
Keisean Nixon,Green Bay Packers,29.0,11,319,0,11,1,43,0,0
