Player,Team,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Joe Burrow,Cincinnati Bengals,3028,7.4,408,274,67.2,27,4,106.9,155,38.0,33,10,70,26,138
Lamar Jackson,Atlanta Falcons,2876,9.0,321,215,67.0,25,3,117.3,137,42.7,38,9,84,15,96
Kirk Cousins,Atlanta Falcons,2807,7.8,360,245,68.1,17,9,96.6,129,35.8,34,5,52,23,165
Geno Smith,Seattle Seahawks,2781,7.4,374,258,69.0,11,11,88.1,137,36.6,30,3,71,32,207
C.J. Stroud,Houston Texans,2628,7.2,363,230,63.4,12,7,88.0,133,36.6,30,4,67,35,276
Brock Purdy,San Francisco 49ers,2613,8.5,306,202,66.0,13,8,95.9,121,39.5,36,9,76,20,95
Matthew Stafford,Los Angeles Rams,2557,7.3,349,232,66.5,13,7,92.1,118,33.8,32,4,69,21,151
Josh Allen,Buffalo Bills,2543,7.5,339,217,64.0,18,5,98.2,117,34.5,38,7,63,13,61
Baker Mayfield,Tampa Bay Buccaneers,2505,7.3,344,243,70.6,24,9,103.6,131,38.1,27,2,55,24,143
Jared Goff,Detroit Lions,2492,9.2,270,197,73.0,20,9,112.2,119,44.1,39,8,70,18,147
Aaron Rodgers,New York Jets,2442,6.4,380,241,63.4,17,7,89.0,121,31.8,34,2,57,26,199
Patrick Mahomes,Kansas City Chiefs,2404,7.0,344,239,69.5,15,11,90.3,133,38.7,26,3,54,22,139
Sam Darnold,Minnesota Vikings,2387,8.2,293,199,67.9,19,10,100.0,114,38.9,37,5,97,28,186
Jayden Daniels,Washington Commanders,2338,8.0,294,202,68.7,10,3,99.6,109,37.1,33,7,66,23,131
Bo Nix,Denver Broncos,2275,6.4,357,234,65.6,14,6,89.3,102,28.6,35,2,49,18,147
Jalen Hurts,Philadelphia Eagles,2197,8.4,263,182,69.2,12,5,101.8,99,37.6,33,10,67,28,208
Justin Herbert,Los Angeles Chargers,2186,7.9,277,176,63.5,13,1,102.0,97,35.0,35,4,66,23,132
Jordan Love,Green Bay Packers,2081,8.1,257,160,62.3,16,11,90.6,91,35.4,30,9,70,8,63
Daniel Jones,New York Giants,2070,6.1,341,216,63.3,8,7,79.4,106,31.1,19,2,43,29,172
Kyler Murray,Arizona Cardinals,2058,7.5,276,191,69.2,12,3,100.8,99,35.9,23,2,60,15,88
Caleb Williams,Chicago Bears,2016,6.2,325,201,61.8,9,5,82.3,97,29.8,20,4,47,41,278
Trevor Lawrence,Jacksonville Jaguars,2004,7.3,274,168,61.3,11,6,87.9,96,35.0,31,4,85,18,140
Dak Prescott,Dallas Cowboys,1978,6.9,286,185,64.7,11,8,86.0,87,30.4,23,3,65,21,112
Gardner Minshew,Las Vegas Raiders,1783,6.8,264,178,67.4,8,9,82.3,95,36.0,21,2,57,26,152
Derek Carr,New Orleans Saints,1742,8.3,211,145,68.7,13,4,106.4,72,34.1,21,7,71,7,39
Tua Tagovailoa,Miami Dolphins,1443,7.5,192,141,73.4,9,4,101.5,77,40.1,15,3,80,11,92
Jameis Winston,Cleveland Browns,1266,7.4,172,107,62.2,7,4,88.5,60,34.9,15,1,89,13,55
Drake Maye,New England Patriots,1236,6.5,189,126,66.7,9,6,87.5,63,33.3,13,1,40,17,120
Anthony Richardson,Indianapolis Colts,1230,7.6,163,79,48.5,5,7,66.2,47,28.8,18,6,69,11,96
Russell Wilson,Pittsburgh Steelers,1212,8.1,149,94,63.1,7,2,98.6,52,34.9,21,3,46,16,92
Will Levis,Tennessee Titans,1169,6.5,179,118,65.9,8,8,80.5,52,29.0,14,3,98,27,153
Joe Flacco,Indianapolis Colts,1167,6.9,170,113,66.5,9,5,91.5,60,35.3,15,2,65,13,101
Deshaun Watson,Cleveland Browns,1148,5.3,216,137,63.4,5,3,79.0,49,22.7,11,0,35,33,191
Justin Fields,Pittsburgh Steelers,1106,6.9,161,106,65.8,5,1,93.3,45,28.0,15,2,55,16,124
Andy Dalton,Carolina Panthers,989,6.2,160,106,66.2,7,6,82.0,50,31.2,13,0,39,7,37
Jacoby Brissett,New England Patriots,828,5.2,159,94,59.1,2,1,74.6,41,25.8,7,1,50,18,119
Bryce Young,Carolina Panthers,820,5.4,153,92,60.1,4,6,66.9,38,24.8,11,1,46,11,65
Mason Rudolph,Tennessee Titans,806,6.3,128,76,59.4,4,4,75.2,43,33.6,10,1,47,6,38
Spencer Rattler,New Orleans Saints,571,5.8,99,59,59.6,1,2,70.7,23,23.2,7,1,41,14,73
Cooper Rush,Dallas Cowboys,566,4.8,117,67,57.3,2,2,68.5,31,26.5,4,1,64,6,44
Aidan O'Connell,Las Vegas Raiders,455,5.6,82,52,63.4,2,2,76.0,25,30.5,2,0,30,3,28
Malik Willis,Green Bay Packers,380,9.7,39,29,74.4,3,0,130.3,15,38.5,7,1,51,5,16
Tyler Huntley,Baltimore Ravens,377,5.7,66,39,59.1,1,1,73.9,19,28.8,3,0,25,7,45
Mac Jones,Jacksonville Jaguars,277,4.6,60,37,61.7,0,3,51.9,13,21.7,4,0,24,6,60
Marcus Mariota,Washington Commanders,203,7.8,26,19,73.1,2,0,121.2,12,46.2,2,0,25,1,4
Skylar Thompson,Miami Dolphins,187,5.7,33,21,63.6,0,0,78.7,8,24.2,1,0,22,6,44
Jake Haener,New Orleans Saints,177,6.1,29,14,48.3,1,0,79.2,8,27.6,2,0,36,2,16
Tim Boyle,Miami Dolphins,153,5.9,26,15,57.7,0,0,74.7,7,26.9,1,0,30,1,9
Dorian Thompson-Robinson,Cleveland Browns,82,3.3,25,11,44.0,0,2,19.1,3,12.0,0,0,16,1,3
Davis Mills,Houston Texans,79,6.1,13,7,53.8,0,0,72.3,4,30.8,1,0,25,1,7
Desmond Ridder,Arizona Cardinals,74,4.6,16,11,68.8,1,0,99.5,4,25.0,1,0,22,4,34
Hendon Hooker,Detroit Lions,62,6.9,9,6,66.7,0,0,86.3,3,33.3,1,0,21,1,9
Michael Penix Jr.,Atlanta Falcons,38,7.6,5,3,60.0,0,0,83.8,3,60.0,1,0,20,1,0
Tyrod Taylor,New York Jets,36,4.5,8,6,75.0,1,0,122.9,3,37.5,0,0,9,0,0
Jaxon Smith-Njigba,Seattle Seahawks,35,35.0,1,1,100.0,0,0,118.8,1,100.0,1,0,35,0,0
Courtland Sutton,Denver Broncos,30,15.0,2,2,100.0,1,0,158.3,2,100.0,1,0,28,0,0
Taylor Heinicke,Los Angeles Chargers,24,12.0,2,2,100.0,0,0,116.7,1,50.0,0,0,18,3,28
Adonai Mitchell,Indianapolis Colts,24,24.0,1,1,100.0,0,0,118.8,1,100.0,1,0,24,0,0
Nick Mullens,Minnesota Vikings,24,24.0,1,1,100.0,0,0,118.8,1,100.0,1,0,24,0,0
Justin Jefferson,Minnesota Vikings,22,22.0,1,1,100.0,0,0,118.8,1,100.0,1,0,22,0,0
Taysom Hill,New Orleans Saints,21,5.2,4,2,50.0,0,1,26.0,1,25.0,0,0,18,0,0
Trey Lance,Dallas Cowboys,21,3.5,6,4,66.7,0,1,32.6,1,16.7,0,0,10,2,7
Kyle Allen,Pittsburgh Steelers,19,19.0,1,1,100.0,0,0,118.8,1,100.0,0,0,19,0,0
Jack Fox,Detroit Lions,17,17.0,1,1,100.0,0,0,118.8,1,100.0,0,0,17,0,0
Stefon Diggs,Houston Texans,13,13.0,1,1,100.0,0,0,118.8,1,100.0,0,0,13,0,0
Amon-Ra St. Brown,Detroit Lions,7,7.0,1,1,100.0,1,0,135.4,1,100.0,0,0,7,0,0
Drew Lock,New York Giants,6,0.8,8,3,37.5,0,0,45.8,0,0.0,0,0,5,1,6
Kenny Pickett,Philadelphia Eagles,5,1.7,3,1,33.3,0,0,42.4,0,0.0,0,0,5,1,8
Mitchell Trubisky,Buffalo Bills,5,1.7,3,2,66.7,0,0,70.1,0,0.0,0,0,3,0,0
Bryan Anger,Dallas Cowboys,4,2.0,2,1,50.0,0,0,56.2,0,0.0,0,0,4,0,0
Riley Dixon,Denver Broncos,3,3.0,1,1,100.0,0,0,79.2,0,0.0,0,0,3,0,0
David Montgomery,Detroit Lions,3,3.0,1,1,100.0,1,0,118.8,1,100.0,0,0,3,0,0
Josh Johnson,Baltimore Ravens,1,1.0,1,1,100.0,0,0,79.2,0,0.0,0,0,1,0,0
Tutu Atwell,Los Angeles Rams,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Ty Chandler,Minnesota Vikings,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,1,1
Johnny Hekker,Carolina Panthers,0,0.0,2,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Miles Killebrew,Pittsburgh Steelers,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Joe Mixon,Houston Texans,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Darnell Mooney,Atlanta Falcons,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Malik Nabers,New York Giants,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Bradley Pinion,Atlanta Falcons,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
Deebo Samuel Sr.,San Francisco 49ers,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,1,4
