Player,Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Dante Pettis,New Orleans Saints,27.0,2,54,0,1,1,53,3,0
Parker Washington,Jacksonville Jaguars,24.0,6,144,1,1,1,96,4,0
Anthony Gould,Indianapolis Colts,19.0,1,19,0,0,0,19,4,0
KaVontae Turpin,Dallas Cowboys,16.2,9,146,1,2,1,60,10,0
Rashid Shaheed,New Orleans Saints,15.9,9,143,1,2,2,54,2,1
Marcus Jones,New England Patriots,15.6,20,311,0,4,2,62,7,2
Clark Phillips III,Atlanta Falcons,15.0,1,15,0,0,0,15,0,0
Braxton Berrios,Miami Dolphins,14.7,7,103,0,2,1,44,12,0
Kalif Raymond,Detroit Lions,14.4,25,360,1,3,2,90,8,0
Derius Davis,Los Angeles Chargers,14.2,12,171,0,2,1,53,14,0
Robert Woods,Houston Texans,14.0,7,98,0,1,0,36,9,0
DJ Turner,Las Vegas Raiders,13.5,4,54,0,1,0,24,2,0
Marvin Mims Jr.,Denver Broncos,13.3,21,279,0,4,0,38,14,0
Tylan Wallace,Baltimore Ravens,12.8,4,51,0,1,0,21,9,0
Brandon Codrington,Buffalo Bills,12.2,20,243,0,3,0,29,6,1
Tank Dell,Houston Texans,12.0,2,24,0,0,0,13,0,0
Tyreik McAllister,Las Vegas Raiders,12.0,2,24,0,0,0,14,0,0
Keisean Nixon,Green Bay Packers,12.0,4,48,0,1,0,39,0,0
Cooper DeJean,Philadelphia Eagles,11.8,14,165,0,2,0,31,18,1
Greg Dortch,Arizona Cardinals,11.8,9,106,0,1,0,27,2,0
Mecole Hardman,Kansas City Chiefs,11.7,17,199,0,2,1,55,9,0
Devin Duvernay,Jacksonville Jaguars,11.6,7,81,0,1,1,53,9,0
Calvin Austin III,Pittsburgh Steelers,11.4,21,239,1,2,1,73,13,0
Jaelon Darden,Cleveland Browns,11.3,20,226,0,1,0,28,3,0
Josh Downs,Indianapolis Colts,11.2,14,157,0,1,0,23,5,0
Tyreek Hill,Miami Dolphins,11.0,1,11,0,0,0,11,0,0
Kameron Johnson,Tampa Bay Buccaneers,11.0,1,11,0,0,0,11,1,0
Olamide Zaccheaus,Washington Commanders,10.9,13,142,0,2,0,24,11,3
Trey Palmer,Tampa Bay Buccaneers,10.9,7,76,0,0,0,17,5,0
Deonte Harty,Baltimore Ravens,10.6,8,85,0,0,0,16,4,0
DeAndre Carter,Chicago Bears,10.2,15,153,0,2,0,38,8,0
Jermaine Jackson,New Orleans Saints,9.7,7,68,0,0,0,18,9,0
Avery Williams,Atlanta Falcons,9.5,12,114,0,1,0,28,12,0
Raheem Blackshear,Carolina Panthers,9.4,14,131,0,0,0,16,2,1
Ladd McConkey,Los Angeles Chargers,9.3,3,28,0,0,0,12,8,0
Xavier Smith,Los Angeles Rams,9.3,9,84,0,1,0,38,11,0
Xavier Gipson,New York Jets,9.2,25,230,0,3,1,40,13,2
James Proche,Cleveland Browns,9.2,13,119,0,0,0,17,1,0
Britain Covey,Philadelphia Eagles,9.0,1,9,0,0,0,9,3,0
Jha'Quan Jackson,Tennessee Titans,8.5,24,205,0,1,0,20,5,2
Jacob Cowing,San Francisco 49ers,8.3,15,124,0,1,0,30,6,2
Kyle Juszczyk,San Francisco 49ers,8.0,1,8,0,0,0,8,0,0
Dee Williams,Seattle Seahawks,7.4,13,96,0,1,0,23,16,2
Tre Tucker,Las Vegas Raiders,7.3,6,44,0,1,0,21,3,0
Jayden Reed,Green Bay Packers,7.1,9,64,0,0,0,16,14,1
Charlie Jones,Cincinnati Bengals,7.1,14,99,0,1,0,23,5,1
Trenton Irwin,Cincinnati Bengals,7.0,8,56,0,0,0,17,4,0
Brandon Powell,Minnesota Vikings,7.0,14,98,0,0,0,15,7,0
Malik Washington,Miami Dolphins,6.4,7,45,0,0,0,19,0,0
Ihmir Smith-Marsette,New York Giants,6.3,18,114,0,1,0,22,10,1
Steven Sims,Houston Texans,6.2,16,99,0,0,0,19,8,2
David Moore,Carolina Panthers,6.0,1,6,0,0,0,6,5,0
Kyren Williams,Los Angeles Rams,6.0,2,12,0,0,0,12,1,0
Jalen McMillan,Tampa Bay Buccaneers,4.0,3,12,0,0,0,11,2,0
Austin Trammell,Jacksonville Jaguars,3.5,2,7,0,0,0,6,0,1
Desmond King,Baltimore Ravens,1.0,2,2,0,0,0,2,1,0
Corey Ballentine,Green Bay Packers,0.0,1,0,0,0,0,0,0,1
Jalen Nailor,Minnesota Vikings,0.0,1,0,0,0,0,0,0,1
Darius Slayton,New York Giants,0.0,1,0,0,0,0,0,1,1
Jeremiah Trotter Jr.,Philadelphia Eagles,0.0,1,0,0,0,0,0,0,0
Cedrick Wilson Jr.,New Orleans Saints,0.0,1,0,0,0,0,0,0,1
Ameer Abdullah,Las Vegas Raiders,-0.3,3,-1,0,0,0,0,1,1
