Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Giants  Giants,123,42,13,9,91,47.4,72,25.8,613
Patriots  Patriots,126,52,10,3,109,54.0,72,24.4,651
Broncos  Broncos,141,53,14,6,105,48.0,53,20.0,647
Saints  Saints,119,45,13,5,110,50.5,76,27.7,666
Bengals  Bengals,131,60,18,12,112,50.9,87,28.7,670
Browns  Browns,117,37,9,6,88,55.7,58,23.6,556
Texans  Texans,114,38,12,9,81,53.3,52,24.0,533
Chiefs  Chiefs,107,41,13,6,94,49.2,46,22.4,531
Steelers  Steelers,112,39,11,6,91,47.9,53,25.8,548
Buccaneers  Buccaneers,127,55,19,14,133,51.6,70,26.9,691
Colts  Colts,140,62,17,11,119,52.6,84,25.2,708
Commanders  Commanders,114,48,15,9,102,57.3,79,26.9,603
Bears  Bears,120,40,11,6,86,51.5,60,24.3,566
Panthers  Panthers,133,64,9,4,119,56.4,94,26.9,690
Falcons  Falcons,130,59,17,7,115,47.5,83,28.6,667
Bills  Bills,120,48,22,9,120,51.3,61,24.1,635
Raiders  Raiders,114,44,6,4,100,52.9,57,22.1,577
Jets  Jets,120,43,10,8,71,49.0,72,25.9,588
Chargers  Chargers,107,35,11,6,75,44.6,45,23.8,495
Jaguars  Jaguars,133,58,13,8,134,56.1,69,22.9,686
Eagles  Eagles,95,36,9,5,82,52.6,47,25.5,480
49ers  49ers,116,50,15,9,96,53.6,53,23.7,550
Seahawks  Seahawks,123,46,8,4,97,49.7,68,25.8,599
Packers  Packers,103,34,12,7,96,52.5,66,27.5,557
Ravens  Ravens,135,63,14,6,154,59.0,36,16.7,666
Dolphins  Dolphins,91,30,5,3,75,52.8,55,25.5,474
Cowboys  Cowboys,99,35,16,11,78,52.7,73,28.6,510
Vikings  Vikings,113,38,17,6,118,54.6,30,15.9,568
Titans  Titans,96,30,7,5,68,46.6,46,22.4,470
Cardinals  Cardinals,110,53,14,8,112,56.3,72,27.0,597
Rams  Rams,89,32,6,5,90,60.4,64,25.9,514
Lions  Lions,87,26,15,6,98,49.8,45,25.6,518
