Team,FF,FR,FR TD,Rec FUM,Rush FUM
Colts  Colts,12,9,1,3,6
49ers  49ers,12,5,0,4,6
Bills  Bills,11,8,0,2,5
Saints  Saints,11,3,0,2,4
Buccaneers  Buccaneers,10,7,1,4,6
Bears  Bears,9,8,0,4,3
Patriots  Patriots,9,4,0,1,6
Cardinals  Cardinals,9,5,0,4,3
Seahawks  Seahawks,9,3,2,1,6
Lions  Lions,8,4,0,4,4
Giants  Giants,8,7,0,4,3
Steelers  Steelers,8,6,0,0,4
Commanders  Commanders,8,6,0,1,4
Ravens  Ravens,7,4,0,2,2
Browns  Browns,7,4,1,0,4
Cowboys  Cowboys,7,2,0,2,2
Packers  Packers,7,9,0,3,5
Chiefs  Chiefs,7,3,1,2,2
Falcons  Falcons,6,3,1,3,7
Panthers  Panthers,6,6,0,4,1
Broncos  Broncos,6,5,1,2,2
Texans  Texans,6,4,0,2,3
Rams  Rams,6,3,1,1,3
Vikings  Vikings,6,5,1,1,4
Jets  Jets,6,5,0,2,4
Eagles  Eagles,6,2,0,1,4
Bengals  Bengals,5,4,0,1,4
Titans  Titans,5,3,0,2,2
Chargers  Chargers,5,4,0,1,3
Jaguars  Jaguars,3,3,1,0,3
Dolphins  Dolphins,3,2,0,0,2
Raiders  Raiders,0,0,0,1,2
