Team,INT,INT TD,INT Yds,Lng
Vikings  Vikings,15,2,123,63T
Saints  Saints,12,0,166,47
Bills  Bills,11,2,114,31
Lions  Lions,11,1,116,47
Packers  Packers,10,1,116,35T
Steelers  Steelers,10,0,142,49
49ers  49ers,10,1,156,45T
Chargers  Chargers,9,0,83,29
Bears  Bears,8,1,64,43T
Texans  Texans,8,0,92,45
Colts  Colts,8,0,49,20
Rams  Rams,8,2,109,103
Falcons  Falcons,7,1,93,47T
Broncos  Broncos,7,1,186,100T
Ravens  Ravens,6,0,1,1
Bengals  Bengals,6,0,117,49
Seahawks  Seahawks,6,0,72,33
Panthers  Panthers,5,0,38,33
Jaguars  Jaguars,5,0,38,22
Chiefs  Chiefs,5,0,23,12
Raiders  Raiders,5,1,92,35T
Eagles  Eagles,5,0,1,1
Cardinals  Cardinals,5,0,10,10
Buccaneers  Buccaneers,5,0,28,17
Cowboys  Cowboys,4,0,9,8
Dolphins  Dolphins,4,0,2,2
Patriots  Patriots,4,0,37,35
Commanders  Commanders,4,1,124,67T
Titans  Titans,3,0,49,30
Jets  Jets,2,0,0,0
Browns  Browns,1,0,0,0
Giants  Giants,1,0,1,1
