Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck
Bengals  Bengals,334,220,65.9,6.9,2300,17,6,95.2,112,33.5,22,5,84T,17
Giants  Giants,275,192,69.8,7.5,2070,12,1,104.7,91,33.1,28,5,55T,36
Buccaneers  Buccaneers,376,258,68.6,7.5,2835,20,5,102.9,133,35.4,34,7,59,28
Seahawks  Seahawks,296,195,65.9,7.1,2111,14,6,94.0,97,32.8,27,4,76T,21
Browns  Browns,264,158,59.8,7.6,2017,12,1,97.4,88,33.3,33,6,66T,27
Falcons  Falcons,344,242,70.4,6.6,2285,17,7,96.4,115,33.4,23,3,67,9
Broncos  Broncos,329,219,66.6,6.5,2124,12,7,87.8,105,31.9,26,2,57T,35
Cowboys  Cowboys,221,148,67.0,8.3,1841,13,4,104.7,78,35.3,25,7,70T,18
Jets  Jets,255,145,56.9,6.4,1631,6,2,80.7,71,27.8,26,4,50,31
Raiders  Raiders,280,189,67.5,6.8,1904,15,5,97.1,100,35.7,21,1,47T,17
Panthers  Panthers,307,211,68.7,7.6,2339,18,5,103.9,119,38.8,27,5,63T,12
Saints  Saints,343,218,63.6,7.5,2585,8,12,79.6,110,32.1,36,8,65T,22
Texans  Texans,277,152,54.9,6.2,1716,19,8,84.4,81,29.2,24,6,69T,29
Chiefs  Chiefs,290,191,65.9,6.8,1958,13,5,92.9,94,32.4,18,6,50,19
Patriots  Patriots,309,202,65.4,7.2,2232,12,4,94.2,109,35.3,28,4,58,25
Jaguars  Jaguars,342,239,69.9,8.0,2743,19,5,106.2,134,39.2,42,7,80T,21
Colts  Colts,328,226,68.9,7.7,2535,14,8,95.8,119,36.3,29,8,85T,22
Bills  Bills,340,234,68.8,6.8,2299,13,11,86.9,120,35.3,22,2,67T,25
Bears  Bears,271,167,61.6,6.9,1876,6,8,77.4,86,31.7,26,4,61,24
Ravens  Ravens,398,261,65.6,7.9,3146,22,6,101.8,154,38.7,47,5,70T,31
Commanders  Commanders,270,178,65.9,7.4,1986,17,4,102.5,102,37.8,25,2,44,27
Packers  Packers,282,183,64.9,7.2,2030,13,10,86.8,96,34.0,27,1,67T,22
49ers  49ers,289,179,61.9,6.5,1880,11,10,79.1,96,33.2,22,3,97T,22
Rams  Rams,231,149,64.5,8.5,1965,15,8,98.5,84,36.4,30,5,66T,21
Vikings  Vikings,338,216,63.9,6.8,2294,14,15,78.9,118,34.9,27,1,42,30
Titans  Titans,231,146,63.2,6.0,1379,12,3,91.5,68,29.4,17,2,57,18
Dolphins  Dolphins,228,142,62.3,6.7,1531,8,4,86.4,75,32.9,19,2,71T,10
Cardinals  Cardinals,288,199,69.1,7.6,2182,11,5,96.7,112,38.9,24,5,53,21
Steelers  Steelers,304,190,62.5,6.9,2110,8,10,78.2,91,29.9,25,5,57,22
Chargers  Chargers,267,168,62.9,6.4,1708,7,9,75.9,75,28.1,22,2,55T,24
Lions  Lions,306,197,64.4,7.0,2126,6,11,76.2,98,32.0,24,5,63,20
Eagles  Eagles,256,156,60.9,6.5,1666,8,5,82.3,82,32.0,20,3,70T,22
