Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef
Cincinnati Bengals,282,3194,11.3,24,41,7,84T,153,54.3,1,59
Seattle Seahawks,286,2999,10.5,19,35,5,76T,148,51.8,1,57
Dallas Cowboys,265,3127,11.8,20,36,10,86T,137,51.7,4,54
Las Vegas Raiders,286,3066,10.7,24,37,3,57T,158,55.2,1,60
Kansas City Chiefs,283,3036,10.7,18,39,8,58T,144,50.9,2,45
Miami Dolphins,274,2941,10.7,14,33,5,71T,145,52.9,0,53
Cleveland Browns,234,3005,12.8,18,48,9,93T,126,53.8,1,50
Tampa Bay Buccaneers,329,3530,10.7,21,42,7,59,166,50.5,5,49
Atlanta Falcons,309,3089,10.0,26,35,8,67,149,48.2,5,42
New York Jets,240,2706,11.3,11,40,5,50,127,52.9,2,40
Los Angeles Rams,259,3159,12.2,23,47,7,66T,152,58.7,2,49
Detroit Lions,276,3130,11.3,11,43,6,63,142,51.4,5,61
New York Giants,257,2778,10.8,14,39,5,55T,123,47.9,5,43
Denver Broncos,304,3146,10.4,17,36,5,70T,154,50.7,2,54
Houston Texans,242,2868,11.8,26,39,10,70T,130,53.7,2,75
Chicago Bears,244,3027,12.4,13,47,8,69,134,54.9,5,54
Arizona Cardinals,288,3055,10.6,15,32,6,53,157,54.5,5,47
Washington Commanders,238,2666,11.2,21,35,4,44,132,55.5,2,37
Minnesota Vikings,319,3533,11.1,18,43,4,98T,168,52.7,2,74
New England Patriots,261,2953,11.3,22,38,5,69T,146,55.9,1,56
Carolina Panthers,274,2956,10.8,24,34,5,63T,155,56.6,4,48
New Orleans Saints,283,3390,12.0,12,45,10,89T,148,52.3,2,76
Baltimore Ravens,316,3687,11.7,23,50,5,70T,179,56.6,2,66
Buffalo Bills,291,2909,10.0,18,28,2,67T,154,52.9,2,50
Jacksonville Jaguars,307,3602,11.7,24,58,10,80T,174,56.7,0,50
San Francisco 49ers,249,2556,10.3,17,27,3,97T,132,53.0,4,56
Tennessee Titans,248,2462,9.9,20,31,4,57,122,49.2,2,43
Pittsburgh Steelers,276,3057,11.1,14,37,7,57,135,48.9,3,61
Los Angeles Chargers,278,2871,10.3,15,36,6,60,129,46.4,1,75
Green Bay Packers,292,3108,10.6,19,38,1,67T,154,52.7,5,40
Philadelphia Eagles,261,2594,9.9,14,29,4,70T,131,50.2,3,72
Indianapolis Colts,298,3226,10.8,17,35,8,85T,155,52.0,4,42
