Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ravens  Ravens,216,730,3.4,7,2,0,21T,36,16.7,2
Commanders  Commanders,294,1427,4.8,10,10,1,56T,79,26.9,4
Steelers  Steelers,205,784,3.8,7,3,1,45T,53,25.8,4
Eagles  Eagles,184,809,4.4,6,3,0,33T,47,25.5,4
Saints  Saints,274,1410,5.2,14,12,1,65T,76,27.7,4
Packers  Packers,240,1017,4.2,8,6,0,34,66,27.5,5
Bills  Bills,253,1232,4.9,6,10,3,87T,61,24.1,5
Chiefs  Chiefs,205,749,3.6,5,2,0,26,46,22.4,2
Giants  Giants,279,1471,5.3,8,15,4,55,72,25.8,3
49ers  49ers,224,956,4.3,11,4,1,50T,53,23.7,6
Falcons  Falcons,290,1294,4.5,5,5,1,56,83,28.6,7
Broncos  Broncos,265,1035,3.9,6,7,1,40,53,20.0,2
Vikings  Vikings,189,711,3.8,4,2,1,45T,30,15.9,4
Patriots  Patriots,295,1305,4.4,10,6,2,59,72,24.4,6
Colts  Colts,334,1483,4.4,9,7,1,65T,84,25.2,6
Texans  Texans,217,1028,4.7,5,7,1,58,52,24.0,3
Cardinals  Cardinals,267,1196,4.5,10,4,1,47,72,27.0,3
Buccaneers  Buccaneers,260,1252,4.8,9,8,3,81,70,26.9,6
Lions  Lions,176,851,4.8,8,6,0,37,45,25.6,4
Bears  Bears,247,1197,4.8,9,6,1,53T,60,24.3,3
Dolphins  Dolphins,216,960,4.4,10,6,2,49T,55,25.5,2
Panthers  Panthers,349,1601,4.6,17,6,2,46,94,26.9,1
Jaguars  Jaguars,301,1294,4.3,11,7,0,38T,69,22.9,3
Titans  Titans,205,907,4.4,8,12,1,70T,46,22.4,2
Chargers  Chargers,189,863,4.6,3,7,1,44T,45,23.8,3
Bengals  Bengals,303,1273,4.2,13,4,1,51,87,28.7,4
Rams  Rams,247,1081,4.4,6,5,1,41,64,25.9,3
Browns  Browns,246,1103,4.5,11,12,2,50,58,23.6,4
Seahawks  Seahawks,264,1255,4.8,9,9,2,76,68,25.8,6
Raiders  Raiders,258,1169,4.5,10,9,2,61,57,22.1,2
Jets  Jets,278,1193,4.3,11,5,0,34,72,25.9,4
Cowboys  Cowboys,255,1182,4.6,13,3,0,39,73,28.6,2
