Team,FR TD,SFTY,INT TD
Seahawks  Seahawks,2,1,0
Falcons  Falcons,1,0,1
Browns  Browns,1,1,0
Broncos  Broncos,1,2,1
Colts  Colts,1,0,0
Jaguars  Jaguars,1,0,0
Chiefs  Chiefs,1,0,0
Rams  Rams,1,1,2
Vikings  Vikings,1,0,2
Buccaneers  Buccaneers,1,1,0
Ravens  Ravens,0,0,0
Bills  Bills,0,0,2
Panthers  Panthers,0,0,0
Bears  Bears,0,0,1
Bengals  Bengals,0,1,0
Cowboys  Cowboys,0,0,0
Lions  Lions,0,0,1
Packers  Packers,0,0,1
Titans  Titans,0,1,0
Texans  Texans,0,0,0
Raiders  Raiders,0,0,1
Dolphins  Dolphins,0,0,0
Patriots  Patriots,0,0,0
Saints  Saints,0,1,0
Giants  Giants,0,0,0
Jets  Jets,0,0,0
Eagles  Eagles,0,0,0
Cardinals  Cardinals,0,2,0
Steelers  Steelers,0,0,0
Chargers  Chargers,0,0,0
49ers  49ers,0,0,1
Commanders  Commanders,0,0,1
