Team,Sck,Comb,Asst,Solo
Denver Broncos,47,857,331,493
Houston Texans,42,729,250,478
Baltimore Ravens,41,806,299,494
Minnesota Vikings,40,820,310,480
Los Angeles Chargers,39,817,312,491
New York Giants,38,862,363,466
New York Jets,37,817,296,499
Philadelphia Eagles,37,755,263,488
Dallas Cowboys,36,837,331,526
San Francisco 49ers,35,777,289,473
Tampa Bay Buccaneers,35,837,303,511
Arizona Cardinals,34,866,354,471
Cleveland Browns,33,790,284,467
Green Bay Packers,33,835,333,480
Indianapolis Colts,32,965,370,527
Pittsburgh Steelers,32,756,294,446
Seattle Seahawks,32,847,336,504
Washington Commanders,32,793,312,481
Chicago Bears,31,811,311,469
Detroit Lions,31,708,232,462
Buffalo Bills,29,821,293,481
Las Vegas Raiders,29,818,310,487
New Orleans Saints,29,797,283,525
Los Angeles Rams,28,865,365,449
Tennessee Titans,27,786,286,494
Kansas City Chiefs,27,740,260,480
New England Patriots,27,835,328,483
Carolina Panthers,25,921,373,537
Jacksonville Jaguars,25,884,326,540
Cincinnati Bengals,24,858,355,474
Miami Dolphins,24,771,305,441
Atlanta Falcons,19,843,316,517
