Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Dallas Cowboys,479,302,63.0,6.3,3011,16,11,82.4,141,29.4,33,5,65,30,169
Las Vegas Raiders,450,295,65.6,6.6,2980,14,12,83.6,152,33.8,34,4,58,41,264
Kansas City Chiefs,427,292,68.4,7.0,2979,19,11,92.2,162,37.9,33,3,54T,32,222
New York Giants,414,262,63.3,5.9,2446,8,8,77.8,125,30.2,21,2,43,40,248
Cleveland Browns,413,255,61.7,6.0,2496,12,9,79.3,112,27.1,26,1,89T,47,249
Chicago Bears,412,253,61.4,6.3,2612,14,5,85.9,122,29.6,30,5,47,49,331
Houston Texans,411,258,62.8,7.2,2967,14,9,86.7,149,36.2,34,5,67T,40,310
Cincinnati Bengals,408,274,67.2,7.4,3028,27,4,106.9,155,38.0,33,10,70T,26,138
Seattle Seahawks,406,281,69.2,7.6,3070,12,12,88.8,150,37.0,34,4,71T,37,241
Miami Dolphins,403,282,70.0,7.0,2842,16,5,97.8,150,37.2,26,3,80T,32,228
Denver Broncos,402,262,65.2,6.4,2581,17,6,91.0,117,29.1,40,2,49,19,158
New York Jets,388,247,63.7,6.4,2478,18,7,89.7,124,32.0,34,2,57,26,199
Los Angeles Rams,386,256,66.3,7.2,2800,15,7,93.0,131,33.9,34,4,69T,26,196
New England Patriots,386,242,62.7,5.9,2286,12,8,80.7,112,29.0,23,2,50T,39,278
Tampa Bay Buccaneers,374,267,71.4,7.5,2799,24,9,104.1,143,38.2,32,2,55T,24,143
Atlanta Falcons,366,248,67.8,7.8,2845,17,9,96.2,132,36.1,35,5,52,24,165
Indianapolis Colts,362,204,56.4,7.2,2593,14,12,78.0,115,31.8,38,8,69,24,197
Washington Commanders,358,246,68.7,7.9,2816,14,5,99.3,132,36.9,37,8,86T,28,143
Detroit Lions,352,253,71.9,8.7,3071,24,9,110.4,152,43.2,44,8,70,24,182
Carolina Panthers,350,219,62.6,5.9,2072,12,12,76.0,101,28.9,28,1,46,20,116
Green Bay Packers,347,223,64.3,8.4,2898,23,11,99.3,126,36.3,42,12,70T,15,86
Baltimore Ravens,344,232,67.4,8.9,3054,27,3,117.8,143,41.6,41,10,84T,16,96
New Orleans Saints,343,220,64.1,7.3,2511,15,7,92.1,104,30.3,30,8,71T,23,128
Buffalo Bills,342,219,64.0,7.4,2548,18,5,97.9,117,34.2,38,7,63T,13,61
San Francisco 49ers,335,219,65.4,8.4,2812,14,9,94.3,129,38.5,41,9,76T,23,101
Jacksonville Jaguars,334,205,61.4,6.8,2281,11,9,81.4,109,32.6,35,4,85T,24,200
Tennessee Titans,332,212,63.9,6.8,2253,14,13,81.3,103,31.0,27,6,98T,41,232
Minnesota Vikings,330,224,67.9,8.4,2777,21,10,102.3,129,39.1,45,7,97T,32,203
Los Angeles Chargers,315,199,63.2,7.7,2428,13,1,99.3,107,34.0,35,4,66T,30,176
Arizona Cardinals,313,215,68.7,7.5,2343,12,4,98.0,114,36.4,27,2,60T,20,124
Pittsburgh Steelers,312,201,64.4,7.5,2337,12,3,95.8,98,31.4,36,5,55T,32,216
Philadelphia Eagles,288,198,68.8,8.3,2381,13,5,101.6,109,37.8,36,10,67T,30,228
