Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Bengals  Bengals,246,2672,10.9,24,26,9,70,141,57.3,3
Buccaneers  Buccaneers,243,2505,10.3,24,27,2,55,131,53.9,4
Seahawks  Seahawks,234,2595,11.1,11,29,3,71,128,54.7,3
Falcons  Falcons,228,2648,11.6,17,33,5,52,122,53.5,3
Giants  Giants,219,2076,9.5,8,19,2,43,106,48.4,1
Chiefs  Chiefs,216,2208,10.2,12,24,3,54,118,54.6,2
Raiders  Raiders,211,2030,9.6,9,21,2,57,107,50.7,0
Broncos  Broncos,209,2001,9.6,11,32,1,49T,90,43.1,4
Browns  Browns,207,1882,9.1,10,18,0,38,87,42.0,0
Cowboys  Cowboys,207,2145,10.4,12,24,3,65,98,47.3,5
Jets  Jets,203,2143,10.6,16,31,2,57,107,52.7,2
Ravens  Ravens,200,2670,13.4,24,35,8,84,128,64.0,0
Commanders  Commanders,199,2350,11.8,11,33,7,66,111,55.8,1
Panthers  Panthers,198,1809,9.1,11,24,1,46,88,44.4,5
Saints  Saints,198,2245,11.3,13,27,7,70,93,47.0,2
Texans  Texans,196,2231,11.4,11,25,4,67,113,57.6,0
Bills  Bills,192,2286,11.9,17,33,7,63,104,54.2,1
Patriots  Patriots,191,1782,9.3,9,18,2,50,88,46.1,1
Jaguars  Jaguars,188,2143,11.4,11,32,4,85T,102,54.3,3
Rams  Rams,182,1969,10.8,9,25,3,63,89,48.9,0
Vikings  Vikings,181,2187,12.1,17,35,4,97T,104,57.5,3
49ers  49ers,181,2454,13.6,12,35,9,76,117,64.6,2
Bears  Bears,178,1785,10.0,9,18,4,47T,85,47.8,2
Packers  Packers,176,2200,12.5,18,32,8,70,96,54.6,1
Colts  Colts,173,2149,12.4,13,30,8,69,95,54.9,2
Cardinals  Cardinals,169,1792,10.6,11,21,1,60T,84,49.7,5
Dolphins  Dolphins,168,1665,9.9,6,15,2,80T,82,48.8,1
Lions  Lions,164,1892,11.5,16,25,6,70,92,56.1,0
Titans  Titans,159,1505,9.5,9,19,2,47,77,48.4,3
Steelers  Steelers,157,1862,11.9,11,28,4,55,79,50.3,2
Eagles  Eagles,150,1774,11.8,10,26,8,67T,81,54.0,1
Chargers  Chargers,147,1749,11.9,10,25,4,66,76,51.7,2
