Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Philadelphia Eagles,473,2476,5.2,25,19,6,72T,134,28.3,5
Pittsburgh Steelers,438,1717,3.9,12,9,0,36T,94,21.5,6
Detroit Lions,423,1964,4.6,22,10,2,70T,115,27.2,3
Washington Commanders,413,2040,4.9,23,14,4,50T,116,28.1,4
Baltimore Ravens,407,2328,5.7,17,20,4,87,117,28.8,8
Green Bay Packers,396,1881,4.8,15,12,0,38,103,26.0,5
New Orleans Saints,376,1673,4.4,15,6,1,75,97,25.8,2
San Francisco 49ers,374,1806,4.8,14,12,1,76,97,25.9,6
Buffalo Bills,362,1634,4.5,24,8,2,65T,106,29.3,0
Atlanta Falcons,359,1571,4.4,11,8,0,37T,87,24.2,4
Minnesota Vikings,359,1471,4.1,7,5,1,41,80,22.3,6
Kansas City Chiefs,356,1438,4.0,11,5,0,34T,88,24.7,4
Arizona Cardinals,353,1818,5.2,12,12,4,53,103,29.2,7
Los Angeles Chargers,352,1449,4.1,13,9,3,61,81,23.0,4
Houston Texans,351,1483,4.2,14,10,3,59,71,20.2,3
Tampa Bay Buccaneers,350,1798,5.1,14,10,3,56,97,27.7,11
Miami Dolphins,349,1368,3.9,9,4,1,47T,70,20.1,8
Indianapolis Colts,347,1544,4.4,12,12,1,58,92,26.5,8
Denver Broncos,343,1445,4.2,10,9,1,43,89,26.0,4
New England Patriots,342,1554,4.5,8,7,2,45T,77,22.5,8
Tennessee Titans,340,1463,4.3,7,7,1,41T,84,24.7,7
Los Angeles Rams,338,1339,4.0,13,3,0,30,95,28.1,7
Chicago Bears,336,1376,4.1,12,7,1,56T,79,23.5,2
New York Giants,336,1503,4.5,11,11,2,45T,89,26.5,5
Carolina Panthers,315,1381,4.4,11,8,0,38T,73,23.2,3
Seattle Seahawks,303,1240,4.1,16,10,1,51,69,22.8,5
Dallas Cowboys,300,1186,4.0,4,3,0,27,67,22.3,9
Cleveland Browns,299,1151,3.8,6,5,0,36,72,24.1,3
Jacksonville Jaguars,297,1286,4.3,11,7,2,65T,73,24.6,3
Cincinnati Bengals,283,1174,4.2,9,7,2,47T,62,21.9,6
Las Vegas Raiders,281,1028,3.7,8,4,1,40T,56,19.9,9
New York Jets,277,1131,4.1,7,4,1,42,56,20.2,6
