Team,Rsh TD,Rec TD,Tot TD,2-PT
Commanders  Commanders,18,11,30,1
Bills  Bills,15,17,34,1
Ravens  Ravens,14,24,39,1
Lions  Lions,14,16,32,0
Eagles  Eagles,14,10,24,2
Chiefs  Chiefs,11,12,24,0
Saints  Saints,11,13,25,0
Seahawks  Seahawks,11,11,25,0
Jaguars  Jaguars,10,11,23,3
Bears  Bears,9,9,20,2
Texans  Texans,9,11,20,0
Colts  Colts,9,13,23,0
Cardinals  Cardinals,9,11,22,2
Steelers  Steelers,9,11,21,0
49ers  49ers,9,12,23,0
Falcons  Falcons,8,17,27,1
Panthers  Panthers,8,11,19,0
Bengals  Bengals,8,24,33,1
Rams  Rams,8,9,20,0
Buccaneers  Buccaneers,8,24,33,1
Broncos  Broncos,7,11,20,0
Raiders  Raiders,7,9,17,2
Patriots  Patriots,7,9,16,1
Giants  Giants,7,8,16,0
Packers  Packers,6,18,25,2
Titans  Titans,6,9,15,0
Dolphins  Dolphins,6,6,12,0
Chargers  Chargers,6,10,16,0
Jets  Jets,5,16,21,1
Vikings  Vikings,4,17,24,0
Browns  Browns,3,10,15,2
Cowboys  Cowboys,3,12,16,1
