Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Pittsburgh Steelers,36,39,92.3,0_0,9_9,10_10,7_6,12_11,1_0,57,1
Houston Texans,31,37,83.8,0_0,8_6,9_9,4_3,16_13,0_0,59,0
Washington Commanders,30,37,81.1,0_0,10_10,7_7,13_11,7_2,0_0,55,1
Dallas Cowboys,29,34,85.3,0_0,3_3,8_6,12_10,9_8,2_2,65,2
Kansas City Chiefs,29,32,90.6,1_1,8_8,11_11,6_6,5_3,1_0,53,0
San Francisco 49ers,29,35,82.9,0_0,11_11,6_6,11_8,7_4,0_0,55,0
Los Angeles Chargers,28,30,93.3,1_1,7_7,4_4,9_8,9_8,0_0,59,0
Denver Broncos,26,29,89.7,0_0,2_2,12_11,9_9,5_4,1_0,54,1
Miami Dolphins,26,30,86.7,0_0,5_5,9_9,5_3,11_9,0_0,57,0
Las Vegas Raiders,25,30,83.3,0_0,9_9,8_8,4_3,9_5,0_0,54,0
Minnesota Vikings,25,29,86.2,0_0,6_6,8_7,9_7,6_5,0_0,58,0
Arizona Cardinals,25,29,86.2,0_0,6_6,10_10,10_6,3_3,0_0,57,1
Atlanta Falcons,23,31,74.2,0_0,7_7,7_5,8_5,9_6,0_0,58,2
Green Bay Packers,23,29,79.3,0_0,6_6,10_9,12_7,1_1,0_0,51,0
Indianapolis Colts,22,25,88.0,0_0,8_8,7_7,4_4,6_3,0_0,56,0
New England Patriots,22,28,78.6,0_0,6_5,11_10,5_3,4_3,2_1,63,1
Detroit Lions,21,22,95.4,0_0,3_3,8_8,6_5,5_5,0_0,58,0
Tennessee Titans,21,22,95.4,0_0,5_5,2_2,9_8,6_6,0_0,56,0
Tampa Bay Buccaneers,21,23,91.3,0_0,8_8,5_5,1_1,9_7,0_0,56,0
Carolina Panthers,20,23,87.0,0_0,6_6,8_7,8_6,1_1,0_0,53,0
New Orleans Saints,20,24,83.3,0_0,4_4,7_6,6_5,6_5,1_0,57,1
New York Giants,20,25,80.0,0_0,4_4,7_6,12_8,2_2,0_0,52,1
Seattle Seahawks,20,23,87.0,0_0,3_3,6_6,5_4,8_7,1_0,59,1
Baltimore Ravens,19,27,70.4,0_0,3_3,7_7,8_5,9_4,0_0,56,0
Buffalo Bills,19,23,82.6,0_0,6_6,6_6,9_5,1_1,1_1,61,0
Cincinnati Bengals,18,24,75.0,0_0,7_7,5_5,5_3,7_3,0_0,56,0
Jacksonville Jaguars,18,20,90.0,0_0,5_5,6_6,5_4,4_3,0_0,59,0
Philadelphia Eagles,18,24,75.0,0_0,6_6,7_7,6_5,4_0,1_0,49,1
Los Angeles Rams,17,22,77.3,0_0,7_6,7_6,4_2,4_3,0_0,55,0
New York Jets,17,23,73.9,0_0,6_6,8_6,7_4,2_1,0_0,58,1
Chicago Bears,16,20,80.0,0_0,3_3,2_2,7_4,8_7,0_0,54,3
Cleveland Browns,16,25,64.0,0_0,2_1,7_6,8_5,8_4,0_0,56,1
