Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk
Lions  Lions,34.9,8,279,0,8,1,72,0,0,0,0
Cowboys  Cowboys,31.6,23,727,0,21,3,79,0,0,0,1
Seahawks  Seahawks,30.1,23,692,1,19,1,97T,0,1,1,0
Commanders  Commanders,30.1,18,541,0,18,1,62,0,1,0,0
Colts  Colts,30.0,14,420,0,13,2,55,0,0,0,0
Cardinals  Cardinals,29.0,19,550,1,17,1,96T,1,1,0,0
Chargers  Chargers,28.8,8,230,0,6,1,56,0,0,1,0
Buccaneers  Buccaneers,28.4,16,455,0,15,2,53,0,0,1,0
Bears  Bears,28.3,15,425,0,14,1,67,0,1,0,0
Broncos  Broncos,28.1,12,337,0,11,0,38,0,0,0,0
Dolphins  Dolphins,27.8,10,278,0,9,0,35,0,0,0,0
Bengals  Bengals,27.6,22,608,1,17,1,100T,0,1,0,0
Raiders  Raiders,27.5,10,275,0,10,0,35,0,0,0,0
Packers  Packers,27.3,9,246,0,9,0,37,0,0,1,1
Bills  Bills,27.3,11,300,0,10,1,53,0,1,0,0
Texans  Texans,27.1,16,433,0,14,2,45,0,0,0,0
Saints  Saints,26.8,24,644,0,20,2,42,0,0,1,0
Titans  Titans,26.2,20,525,0,20,0,34,0,1,0,0
Jaguars  Jaguars,26.2,19,498,0,17,2,41,0,2,1,1
Eagles  Eagles,26.2,18,471,0,16,0,34,0,0,0,1
Jets  Jets,25.8,17,438,0,17,0,33,0,0,0,0
Falcons  Falcons,25.7,21,540,0,20,0,35,0,0,0,0
Giants  Giants,25.4,27,687,0,25,1,47,0,2,1,0
Rams  Rams,25.1,13,326,0,12,1,41,1,0,0,2
Chiefs  Chiefs,25.0,11,275,0,8,0,32,0,0,1,0
Ravens  Ravens,24.9,24,598,0,21,0,37,0,0,1,0
Panthers  Panthers,24.8,32,795,0,26,1,43,0,1,0,0
Patriots  Patriots,24.7,14,346,0,10,1,46,0,0,0,0
Vikings  Vikings,24.5,6,147,0,4,0,35,0,0,0,0
49ers  49ers,24.4,14,341,0,12,0,35,0,1,1,0
Browns  Browns,22.7,27,613,0,22,0,29,1,0,1,0
Steelers  Steelers,21.6,15,324,0,9,0,35,0,0,2,0
