Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Ravens  Ravens,64,4146,48,75.0,16,26.6,0,0,0,0
Commanders  Commanders,64,3971,16,25.0,46,25.1,1,0,1,0
Bills  Bills,61,3939,49,80.3,11,31.7,0,0,1,1
Buccaneers  Buccaneers,61,3835,47,77.0,12,27.8,2,1,0,0
Bengals  Bengals,57,3571,45,79.0,10,25.6,2,0,0,0
49ers  49ers,54,3340,31,57.4,20,30.6,2,0,1,1
Falcons  Falcons,53,3424,31,58.5,22,27.4,0,0,0,0
Saints  Saints,53,3317,12,22.6,40,25.1,1,0,0,0
Lions  Lions,52,3410,40,76.9,12,33.5,0,0,0,0
Vikings  Vikings,51,3253,44,86.3,6,24.0,1,0,0,0
Steelers  Steelers,50,3222,32,64.0,18,27.8,0,0,0,0
Chiefs  Chiefs,49,3160,39,79.6,9,30.0,0,0,1,0
Packers  Packers,48,2992,25,52.1,21,26.3,2,0,1,0
Texans  Texans,48,2994,24,50.0,22,25.1,1,0,2,0
Colts  Colts,48,3017,40,83.3,6,29.8,2,0,0,0
Broncos  Broncos,47,2955,29,61.7,16,24.4,1,0,2,0
Jaguars  Jaguars,46,2887,39,84.8,5,29.8,1,0,0,0
Seahawks  Seahawks,46,2964,25,54.4,21,24.0,0,0,0,0
Cardinals  Cardinals,44,2832,37,84.1,6,36.8,0,0,1,0
Cowboys  Cowboys,43,2543,18,41.9,21,25.0,3,1,1,0
Giants  Giants,43,2768,34,79.1,8,29.6,0,0,1,0
Bears  Bears,42,2674,23,54.8,18,29.3,1,0,0,0
Raiders  Raiders,41,2427,22,53.7,16,23.7,4,0,0,0
Eagles  Eagles,41,2665,34,82.9,7,24.4,0,0,0,0
Chargers  Chargers,41,2634,29,70.7,11,27.6,0,0,1,0
Panthers  Panthers,40,2434,16,40.0,21,24.4,1,0,3,0
Rams  Rams,40,2602,38,95.0,2,29.5,0,0,0,0
Patriots  Patriots,39,2498,29,74.4,9,25.4,0,0,1,0
Browns  Browns,38,2383,19,50.0,18,27.9,1,0,0,1
Jets  Jets,37,2374,28,75.7,9,24.1,0,0,0,0
Dolphins  Dolphins,35,2185,24,68.6,9,23.7,2,0,1,0
Titans  Titans,32,2061,25,78.1,7,35.7,0,0,0,0
