Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM,P Blk
Lions  Lions,16.6,19,315,1,3,2,90T,6,0,0
Cowboys  Cowboys,16.2,9,146,1,2,1,60T,7,0,0
Patriots  Patriots,15.6,20,311,0,4,2,62,6,2,1
Jaguars  Jaguars,15.5,15,232,1,2,2,96T,13,1,0
Chargers  Chargers,14.7,10,147,0,1,1,53,21,0,0
Dolphins  Dolphins,12.6,11,138,0,2,1,44,12,0,0
Saints  Saints,12.4,17,211,1,2,2,54T,11,2,1
Broncos  Broncos,12.3,18,222,0,3,0,38,14,0,0
Commanders  Commanders,12.3,11,135,0,2,0,24,12,3,0
Chiefs  Chiefs,11.9,16,191,0,2,1,55,7,0,0
Steelers  Steelers,11.9,19,226,1,2,1,73T,12,0,1
Cardinals  Cardinals,11.8,9,106,0,1,0,27,2,0,0
Bills  Bills,11.7,16,187,0,2,0,29,6,1,0
Colts  Colts,11.6,12,139,0,1,0,23,9,0,1
Ravens  Ravens,11.6,11,127,0,1,0,21,13,0,0
Browns  Browns,10.4,33,345,0,1,0,28,4,0,0
Bears  Bears,10.2,15,153,0,2,0,38,8,0,1
Eagles  Eagles,10.1,11,111,0,1,0,28,17,1,0
Falcons  Falcons,9.7,11,107,0,1,0,28,12,0,0
Jets  Jets,9.6,22,211,0,3,1,40,11,2,1
Panthers  Panthers,9.1,15,137,0,0,0,16,7,1,0
Buccaneers  Buccaneers,9.0,11,99,0,0,0,17,8,0,0
Rams  Rams,8.7,11,96,0,1,0,38,11,0,0
Titans  Titans,8.1,22,179,0,0,0,18,3,2,0
Raiders  Raiders,8.1,15,121,0,2,0,24,10,1,0
49ers  49ers,8.0,15,120,0,1,0,30,7,2,0
Texans  Texans,7.5,24,180,0,1,0,36,15,2,0
Packers  Packers,7.4,13,96,0,1,0,39,13,2,0
Seahawks  Seahawks,7.4,13,96,0,1,0,23,15,2,1
Bengals  Bengals,6.4,19,121,0,1,0,23,7,1,0
Vikings  Vikings,6.2,13,81,0,0,0,15,6,1,1
Giants  Giants,6.0,19,114,0,1,0,22,11,2,0
