Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Commanders  Commanders,27,87.1,27,100.0,0,0
49ers  49ers,25,86.2,20,95.2,0,0
Steelers  Steelers,23,95.8,20,100.0,0,1
Texans  Texans,21,84.0,18,100.0,0,0
Cowboys  Cowboys,20,90.9,13,100.0,0,1
Bills  Bills,18,85.7,30,90.9,0,0
Broncos  Broncos,18,85.7,19,100.0,0,0
Packers  Packers,18,75.0,22,100.0,0,0
Chiefs  Chiefs,18,90.0,21,95.4,0,0
Vikings  Vikings,18,90.0,23,100.0,0,0
Saints  Saints,18,94.7,21,91.3,0,1
Falcons  Falcons,17,70.8,23,100.0,0,0
Giants  Giants,17,81.0,9,90.0,0,0
Chargers  Chargers,17,89.5,12,80.0,0,0
Colts  Colts,16,84.2,22,100.0,0,0
Raiders  Raiders,16,88.9,14,100.0,0,0
Patriots  Patriots,16,84.2,14,100.0,0,0
Cardinals  Cardinals,16,94.1,19,100.0,1,0
Buccaneers  Buccaneers,16,94.1,29,96.7,0,0
Ravens  Ravens,15,79.0,37,97.4,0,0
Browns  Browns,14,77.8,10,83.3,0,0
Dolphins  Dolphins,14,77.8,10,100.0,0,0
Bengals  Bengals,13,76.5,29,96.7,1,0
Jaguars  Jaguars,13,92.9,19,100.0,0,1
Panthers  Panthers,12,92.3,17,100.0,0,0
Bears  Bears,12,85.7,15,93.8,0,0
Lions  Lions,12,100.0,30,96.8,0,1
Seahawks  Seahawks,12,80.0,22,95.6,1,0
Titans  Titans,11,100.0,15,100.0,0,0
Rams  Rams,11,84.6,15,88.2,0,0
Eagles  Eagles,10,76.9,19,100.0,0,0
Jets  Jets,9,60.0,16,94.1,0,0
