Player,Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Austin Seibert,Washington Commanders,25,27,92.6,0/0,10/10,7/7,7/7,1/3,0/0,55,1
Chris Boswell,Pittsburgh Steelers,23,24,95.8,0/0,7/7,5/5,5/5,6/6,0/1,57,0
Ka'imi Fairbairn,Houston Texans,21,25,84.0,0/0,2/3,6/6,3/4,10/12,0/0,59,0
Brandon Aubrey,Dallas Cowboys,20,22,90.9,0/0,1/1,4/5,6/6,7/8,2/2,65,1
Wil Lutz,Denver Broncos,18,19,94.7,0/0,1/1,8/8,7/7,2/3,0/0,52,0
Cameron Dicker,Los Angeles Chargers,17,19,89.5,0/0,6/6,1/1,6/7,4/5,0/0,59,0
Daniel Carlson,Las Vegas Raiders,16,18,88.9,0/0,3/3,6/6,3/4,4/5,0/0,54,0
Blake Grupe,New Orleans Saints,16,17,94.1,0/0,3/3,5/5,5/6,3/3,0/0,57,0
Younghoe Koo,Atlanta Falcons,16,20,80.0,0/0,3/3,5/5,3/5,5/7,0/0,58,1
Tyler Bass,Buffalo Bills,15,18,83.3,0/0,4/4,5/5,4/7,1/1,1/1,61,0
Harrison Butker,Kansas City Chiefs,15,17,88.2,1/1,4/4,5/5,3/3,2/3,0/1,53,0
Justin Tucker,Baltimore Ravens,15,19,79.0,0/0,3/3,6/6,4/5,2/5,0/0,56,0
Matt Gay,Indianapolis Colts,14,17,82.4,0/0,3/3,7/7,2/2,2/5,0/0,54,0
Dustin Hopkins,Cleveland Browns,14,18,77.8,0/0,1/1,5/5,4/5,4/7,0/0,56,1
Chase McLaughlin,Tampa Bay Buccaneers,14,15,93.3,0/0,4/4,3/3,1/1,6/7,0/0,56,0
Will Reichard,Minnesota Vikings,14,16,87.5,0/0,3/3,4/5,3/3,4/5,0/0,58,0
Jason Sanders,Miami Dolphins,14,18,77.8,0/0,3/3,5/5,2/4,4/6,0/0,56,0
Greg Joseph,Detroit Lions,13,16,81.2,0/0,3/3,5/5,4/7,1/1,0/0,52,0
Cam Little,Jacksonville Jaguars,13,14,92.9,0/0,4/4,3/3,4/5,2/2,0/0,53,0
Evan McPherson,Cincinnati Bengals,13,17,76.5,0/0,4/4,3/3,3/4,3/6,0/0,56,0
Jake Moody,San Francisco 49ers,13,14,92.9,0/0,6/6,2/2,3/3,2/3,0/0,53,0
Jake Bates,Detroit Lions,12,12,100.0,0/0,3/3,5/5,3/3,1/1,0/0,51,0
Jason Myers,Seattle Seahawks,12,15,80.0,0/0,2/2,4/4,3/4,3/4,0/1,59,1
Brayden Narveson,Green Bay Packers,12,17,70.6,0/0,4/4,3/4,5/9,0/0,0/0,47,0
Joey Slye,New England Patriots,12,15,80.0,0/0,3/3,4/5,2/3,2/3,1/1,63,1
Nick Folk,Tennessee Titans,11,11,100.0,0/0,4/4,0/0,4/4,3/3,0/0,53,0
Joshua Karty,Los Angeles Rams,11,13,84.6,0/0,4/4,4/5,2/3,1/1,0/0,52,0
Cairo Santos,Chicago Bears,11,13,84.6,0/0,2/2,1/1,2/3,6/7,0/0,54,1
Jake Elliott,Philadelphia Eagles,10,13,76.9,0/0,3/3,2/2,5/5,0/2,0/1,49,1
Eddy Pineiro,Carolina Panthers,10,11,90.9,0/0,3/3,2/2,5/6,0/0,0/0,48,0
Chad Ryland,Arizona Cardinals,10,11,90.9,0/0,1/1,5/5,2/3,2/2,0/0,57,1
Greg Zuerlein,New York Jets,9,15,60.0,0/0,4/4,4/6,1/4,0/1,0/0,40,1
Brandon McManus,Green Bay Packers,6,7,85.7,0/0,1/1,4/4,1/2,0/0,0/0,45,0
Matt Prater,Arizona Cardinals,6,6,100.0,0/0,1/1,1/1,3/3,1/1,0/0,57,0
Anders Carlson,San Francisco 49ers,5,5,100.0,0/0,1/1,0/0,2/2,2/2,0/0,55,0
Matthew Wright,San Francisco 49ers,3,3,100.0,0/0,1/1,1/1,1/1,0/0,0/0,41,0
Graham Gano,New York Giants,2,2,100.0,0/0,1/1,0/0,0/0,1/1,0/0,50,0
Jude McAtamney,New York Giants,1,1,100.0,0/0,0/0,1/1,0/0,0/0,0/0,31,0
Mitch Wishnowsky,San Francisco 49ers,1,1,100.0,0/0,1/1,0/0,0/0,0/0,0/0,26,0
Jamie Gillan,New York Giants,0,0,0.0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Riley Patterson,New York Jets,0,0,0.0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Spencer Shrader,Indianapolis Colts,0,0,0.0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Cade York,Washington Commanders,0,2,0.0,0/0,0/0,0/0,0/1,0/1,0/0,0,0
