Player,Team,FF,FR,FR TD
Fred Warner,San Francisco 49ers,4,0,0
T.J. Watt,Pittsburgh Steelers,4,2,0
Jessie Bates,Atlanta Falcons,3,1,0
Nate Landman,Atlanta Falcons,3,0,0
Tykee Smith,Tampa Bay Buccaneers,3,0,0
Leo Chenal,Kansas City Chiefs,2,0,0
Lavonte David,Tampa Bay Buccaneers,2,0,0
Kingsley Enagbare,Green Bay Packers,2,0,0
A.J. Epenesa,Buffalo Bills,2,0,0
Zaire Franklin,Indianapolis Colts,2,0,0
Myles Garrett,Cleveland Browns,2,0,0
Derick Hall,Seattle Seahawks,2,1,1
Neville Hewitt,Houston Texans,2,0,0
Amani Hooker,Tennessee Titans,2,0,0
Eric Kendricks,Dallas Cowboys,2,0,0
Arden Key,Tennessee Titans,2,1,0
Laiatu Latu,Indianapolis Colts,2,1,0
Khalil Mack,Los Angeles Chargers,2,1,0
Will McDonald IV,New York Jets,2,1,0
Dayo Odeyingbo,Indianapolis Colts,2,1,0
Bobby Okereke,New York Giants,2,2,0
Germaine Pratt,Cincinnati Bengals,2,2,0
Amik Robertson,Detroit Lions,2,0,0
Alontae Taylor,New Orleans Saints,2,0,0
Trevin Wallace,Carolina Panthers,2,1,0
Keion White,New England Patriots,2,0,0
Kwon Alexander,Denver Broncos,1,1,0
Azeez Al-Shaair,Houston Texans,1,0,0
Evan Anderson,San Francisco 49ers,1,0,0
Felix Anudike-Uzomah,Kansas City Chiefs,1,1,0
Dorance Armstrong,Washington Commanders,1,0,0
Jerome Baker,Seattle Seahawks,1,1,0
Deonte Banks,New York Giants,1,0,0
Derek Barnett,Houston Texans,1,0,0
Cody Barton,Denver Broncos,1,1,1
Zack Baun,Philadelphia Eagles,1,0,0
Andrew Billings,Chicago Bears,1,0,0
Joey Bosa,Los Angeles Chargers,1,0,0
Nick Bosa,San Francisco 49ers,1,1,0
Brian Branch,Detroit Lions,1,0,0
Bryan Bresee,New Orleans Saints,1,0,0
Jaquan Brisker,Chicago Bears,1,0,0
Karl Brooks,Green Bay Packers,1,1,0
Sydney Brown,Philadelphia Eagles,1,0,0
Tony Brown,Cleveland Browns,1,0,0
Oren Burks,Philadelphia Eagles,1,0,0
Brian Burns,New York Giants,1,0,0
Calais Campbell,Miami Dolphins,1,0,0
Elijah Campbell,Miami Dolphins,1,0,0
Jack Campbell,Detroit Lions,1,0,0
Joe Cardona,New England Patriots,1,0,0
Jeremy Chinn,Washington Commanders,1,1,0
Chuck Clark,New York Jets,1,1,0
Micheal Clemons,New York Jets,1,0,0
James Conner,Arizona Cardinals,1,0,0
Edgerrin Cooper,Green Bay Packers,1,1,0
Jonathon Cooper,Denver Broncos,1,0,0
Nick Cross,Indianapolis Colts,1,0,0
Kam Curl,Los Angeles Rams,1,1,1
Yaya Diaby,Tampa Bay Buccaneers,1,0,0
Marcellas Dial Jr.,New England Patriots,1,0,0
Victor Dimukeje,Arizona Cardinals,1,0,0
Tyrel Dodson,Seattle Seahawks,1,0,0
Rasul Douglas,Buffalo Bills,1,0,0
Kyle Dugger,New England Patriots,1,0,0
Cobie Durant,Los Angeles Rams,1,0,0
Tremaine Edmunds,Chicago Bears,1,0,0
T.J. Edwards,Chicago Bears,1,1,0
DeShon Elliott,Pittsburgh Steelers,1,1,0
Christian Elliss,New England Patriots,1,1,0
Martin Emerson,Cleveland Browns,1,1,0
Braden Fiske,Los Angeles Rams,1,2,0
Leonard Floyd,San Francisco 49ers,1,0,0
Dante Fowler Jr.,Washington Commanders,1,0,0
Tyrek Funderburk,Tampa Bay Buccaneers,1,0,0
Dennis Gardeck,Arizona Cardinals,1,0,0
Willie Gay Jr.,New Orleans Saints,1,2,0
Brandon Graham,Philadelphia Eagles,1,0,0
Carl Granderson,New Orleans Saints,1,0,0
J.T. Gray,New Orleans Saints,1,0,0
Renardo Green,San Francisco 49ers,1,0,0
Jonathan Greenard,Minnesota Vikings,1,0,0
Kyle Hamilton,Baltimore Ravens,1,1,0
Daniel Hardy,Chicago Bears,1,0,0
Shelby Harris,Cleveland Browns,1,0,0
Cam Hart,Los Angeles Chargers,1,0,0
Trey Hendrickson,Cincinnati Bengals,1,0,0
Nick Herbig,Pittsburgh Steelers,1,1,0
Taysom Hill,New Orleans Saints,1,0,0
Jevon Holland,Miami Dolphins,1,0,0
Sam Hubbard,Cincinnati Bengals,1,0,0
Jalyx Hunt,Philadelphia Eagles,1,0,0
Danielle Hunter,Houston Texans,1,0,0
Aidan Hutchinson,Detroit Lions,1,0,0
Christian Izien,Tampa Bay Buccaneers,1,0,0
Taron Johnson,Buffalo Bills,1,0,0
Brandon Jones,Denver Broncos,1,1,0
Chris Jones,Kansas City Chiefs,1,0,0
