Player,INT,INT TD,INT Yds,Lng
Kerby Joseph,6,1,60,33
Xavier McKinney,6,0,63,28
Brian Branch,4,0,48,47
Marlon Humphrey,4,0,0,0
Jaylen McCollough,4,1,6,4
Paulson Adebo,3,0,68,47
Beanie Bishop Jr.,3,0,46,41
Calen Bullock,3,0,28,28
Amani Hooker,3,0,49,30
Donte Jackson,3,0,75,49
Elijah Molden,3,0,28,25
Byron Murphy,3,0,0,0
Pat Surtain II,3,1,128,100
Jaire Alexander,2,1,52,35
Jessie Bates,2,0,0,0
Reed Blankenship,2,0,1,1
Camryn Bynum,2,0,3,3
Nick Cross,2,0,20,20
Brandin Echols,2,0,0,0
Kamu Grugier-Hill,2,0,5,5
Damar Hamlin,2,0,19,19
Ja'Marcus Ingram,2,1,56,31
Jaylon Johnson,2,0,11,9
Jaylon Jones,2,0,5,5
Kamren Kinchens,2,1,103,103
Deommodore Lenoir,2,0,33,33
Julian Love,2,0,26,26
Tyrann Mathieu,2,0,23,23
Zyon McCollum,2,0,4,4
Tre'von Moehrig,2,0,28,16
A.J. Terrell,2,0,1,1
Andrew Van Ginkel,2,2,73,63
Fred Warner,2,1,70,45
Riq Woolen,2,0,4,4
Johnathan Abram,1,0,30,30
Troy Andersen,1,1,47,47
Zack Baun,1,0,0,0
Vonn Bell,1,0,32,32
Christian Benford,1,0,6,6
Terrel Bernard,1,0,1,1
Julian Blackmon,1,0,0,0
Josh Blackwell,1,0,10,10
Nick Bosa,1,0,30,30
Jaquan Brisker,1,0,0,0
Ji'Ayir Brown,1,0,0,0
Coby Bryant,1,0,9,9
Sean Murphy-Bunting,1,0,0,0
Kevin Byard,1,0,0,0
Andre Cisco,1,0,22,22
Chamarri Conner,1,0,3,3
Bryan Cook,1,0,0,0
Lavonte David,1,0,7,7
Kalia Davis,1,0,2,2
Akeem Davis-Gaither,1,0,12,12
Nakobe Dean,1,0,0,0
Trevon Diggs,1,0,1,1
Bud Dupree,1,0,0,0
Cobie Durant,1,0,0,0
Tremaine Edmunds,1,0,0,0
DeShon Elliott,1,0,0,0
Demetrius Flannigan-Fowles,1,0,0,0
Emmanuel Forbes,1,0,19,19
Poona Ford,1,0,3,3
Dante Fowler Jr.,1,1,67,67
Zaire Franklin,1,0,0,0
Kristian Fulton,1,0,29,29
Dennis Gardeck,1,0,10,10
C.J. Gardner-Johnson,1,0,0,0
Alohi Gilman,1,0,18,18
Stephon Gilmore,1,0,0,0
Christian Gonzalez,1,0,2,2
Renardo Green,1,0,20,20
Shaquill Griffin,1,0,28,28
Will Harris,1,0,7,7
Neville Hewitt,1,0,45,45
Jaden Hicks,1,0,0,0
Nate Hobbs,1,0,35,35
Jaycee Horn,1,0,0,0
Jordan Howden,1,0,-5,-5
Sam Hubbard,1,0,0,0
Christian Izien,1,0,17,17
Mike Jackson,1,0,1,1
Shemar Jean-Charles,1,0,0,0
Josh Jobe,1,0,33,33
Austin Johnson,1,0,5,5
John Johnson,1,0,0,0
Taron Johnson,1,0,0,0
Brandon Jones,1,0,37,37
Jack Jones,1,1,29,29
Jarrian Jones,1,0,0,0
Marcus Jones,1,0,35,35
Cameron Jordan,1,0,0,0
Damontae Kazee,1,0,5,5
Eric Kendricks,1,0,8,8
Kader Kohou,1,0,2,2
Kamari Lassiter,1,0,9,9
Ja'Quan McMillian,1,0,0,0
Josh Metellus,1,0,12,12
Riley Moss,1,0,0,0
Darius Muasau,1,0,1,1
Eric Murray,1,0,0,0
Malik Mustapha,1,0,1,1
Trevor Nowaske,1,0,8,8
Emmanuel Ogbah,1,0,0,0
Amani Oruwariye,1,0,0,0
Jeremiah Owusu-Koramoah,1,0,0,0
Jabrill Peppers,1,0,0,0
Clark Phillips III,1,0,45,45
Jalen Pitre,1,0,10,10
Joey Porter Jr.,1,0,16,16
Germaine Pratt,1,0,24,24
Jalen Ramsey,1,0,0,0
Justin Reid,1,0,8,8
Christian Roland-Wallace,1,0,0,0
Mike Sainristil,1,0,38,38
Khalen Saunders,1,0,37,37
Zach Sieler,1,0,0,0
Justin Simmons,1,0,0,0
Alex Singleton,1,0,21,21
Harrison Smith,1,0,0,0
Roquan Smith,1,0,0,0
Tykee Smith,1,0,0,0
Robert Spillane,1,0,0,0
Tyrique Stevenson,1,1,43,43
Tarheeb Still,1,0,1,1
Derek Stingley Jr.,1,0,0,0
Geno Stone,1,0,49,49
Teair Tart,1,0,4,4
Jahlani Tavai,1,0,0,0
Cam Taylor-Britt,1,0,0,0
Cory Trice Jr.,1,0,0,0
Ar'Darius Washington,1,0,1,1
Kyzir White,1,0,0,0
Donovan Wilson,1,0,0,0
Evan Williams,1,0,1,1
Garrett Williams,1,0,0,0
Eric Wilson,1,0,0,0
Mack Wilson,1,0,0,0
Xavier Woods,1,0,33,33
Jaylen Watson,0,0,12,12
