Player,Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Khalil Dorsey,Detroit Lions,45.3,3,136,0,3,1,72,0,0
Kendre Miller,New Orleans Saints,41.0,1,41,0,1,1,41,0,0
Charlie Jones,Cincinnati Bengals,40.0,5,200,1,4,1,100,0,1
Dameon Pierce,Houston Texans,40.0,3,120,0,3,2,45,0,0
Ashton Dulin,Indianapolis Colts,37.5,2,75,0,2,1,55,0,0
Isaiah Williams,Detroit Lions,36.0,1,36,0,1,0,36,0,0
Hassan Haskins,Los Angeles Chargers,35.0,1,35,0,1,0,35,0,0
Tank Bigsby,Jacksonville Jaguars,34.2,5,171,0,5,2,41,0,1
KaVontae Turpin,Dallas Cowboys,34.2,13,444,0,12,2,79,0,0
Brandon Codrington,Buffalo Bills,32.5,4,130,0,4,1,53,0,0
Laviska Shenault Jr.,Seattle Seahawks,32.1,14,449,1,12,1,97,0,1
De'Von Achane,Miami Dolphins,32.0,1,32,0,1,0,32,0,0
Ty Johnson,Buffalo Bills,32.0,1,32,0,1,0,32,0,0
DeAndre Carter,Chicago Bears,31.7,9,285,0,9,1,67,0,0
Austin Ekeler,Washington Commanders,31.6,10,316,0,10,1,62,0,0
Justice Hill,Baltimore Ravens,31.3,3,94,0,3,0,37,0,0
Bucky Irving,Tampa Bay Buccaneers,31.2,5,156,0,5,1,46,0,0
DeeJay Dallas,Arizona Cardinals,30.7,13,399,1,12,1,96,1,1
Tyler Goodson,Indianapolis Colts,30.7,3,92,0,3,0,36,0,0
Robert Woods,Houston Texans,30.7,3,92,0,3,0,31,0,0
Dallis Flowers,Tampa Bay Buccaneers,30.0,1,30,0,1,0,30,0,0
Isaac Guerendo,San Francisco 49ers,30.0,3,90,0,3,0,35,0,1
Sean Tucker,Tampa Bay Buccaneers,30.0,7,210,0,7,1,53,0,0
D'Wayne Eskridge,Miami Dolphins,29.5,4,118,0,4,0,35,0,0
Greg Dortch,Arizona Cardinals,29.0,3,87,0,3,0,31,0,0
Ihmir Smith-Marsette,New York Giants,29.0,5,145,0,5,1,47,0,0
Rashid Shaheed,New Orleans Saints,28.5,6,171,0,5,0,38,0,0
Dee Williams,Seattle Seahawks,28.5,8,228,0,7,0,39,0,0
Tremon Smith,Denver Broncos,28.3,6,170,0,6,0,38,0,0
Carson Steele,Kansas City Chiefs,28.2,4,113,0,4,0,31,0,0
Ameer Abdullah,Las Vegas Raiders,28.2,6,169,0,6,0,35,0,0
Khalil Herbert,Chicago Bears,28.0,1,28,0,1,0,28,0,0
Keisean Nixon,Green Bay Packers,27.9,7,195,0,7,0,37,0,0
Steven Sims,Houston Texans,27.9,7,195,0,7,0,37,0,0
