Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Justin Tucker,58,3758,409,43,74.1,15,27.3,0,0,0,0
Tyler Bass,55,3549,349,43,78.2,11,31.7,0,0,1,1
Austin Seibert,54,3404,1015,14,25.9,40,25.4,0,0,0,0
Jake Bates,52,3410,402,40,76.9,12,33.5,0,0,0,0
Evan McPherson,51,3237,226,41,80.4,9,25.1,1,0,0,0
Ka'imi Fairbairn,48,2994,553,24,50.0,22,25.1,1,0,2,0
Blake Grupe,47,2997,861,12,25.5,35,24.6,0,0,0,0
Jason Myers,46,2964,504,25,54.4,21,24.0,0,0,0,0
Chris Boswell,45,2919,382,31,68.9,14,27.3,0,0,0,0
Will Reichard,45,2916,120,40,88.9,5,24.0,0,0,0,0
Harrison Butker,44,2858,270,35,79.6,9,30.0,0,0,0,0
Wil Lutz,44,2762,365,27,61.4,15,24.3,1,0,2,0
Brandon Aubrey,43,2543,524,18,41.9,21,25.0,3,1,1,0
Cam Little,43,2735,149,37,86.0,5,29.8,1,0,0,0
Daniel Carlson,41,2427,379,22,53.7,16,23.7,4,0,0,0
Cameron Dicker,41,2634,304,29,70.7,11,27.6,0,0,1,0
Braden Mann,40,2600,171,33,82.5,7,24.4,0,0,0,0
Cairo Santos,39,2528,528,21,53.8,18,29.3,0,0,0,0
Dustin Hopkins,38,2383,502,19,50.0,18,27.9,1,0,0,1
Matt Gay,37,2351,130,32,86.5,4,32.5,1,0,0,0
Ethan Evans,34,2211,27,33,97.1,1,27.0,0,0,0,0
Eddy Pineiro,34,2129,435,15,44.1,18,24.2,0,0,1,0
Bradley Pinion,34,2203,249,24,70.6,10,24.9,0,0,0,0
Jason Sanders,34,2151,213,24,70.6,9,23.7,1,0,0,0
Joey Slye,34,2198,194,26,76.5,8,24.2,0,0,0,0
Brayden Narveson,33,2116,393,17,51.5,16,24.6,0,0,0,0
Greg Zuerlein,33,2119,111,28,84.8,5,22.2,0,0,0,0
Nick Folk,32,2061,250,25,78.1,7,35.7,0,0,0,0
Trenton Gill,30,1944,156,25,83.3,5,31.2,0,0,0,0
Jake Moody,28,1821,146,23,82.1,5,29.2,0,0,0,0
Greg Joseph,27,1758,116,23,85.2,4,29.0,0,0,0,0
Jake Camarda,24,1549,154,18,75.0,6,25.7,0,0,0,0
Chad Ryland,24,1566,127,20,83.3,4,31.8,0,0,0,0
Matt Prater,20,1266,94,17,85.0,2,47.0,0,0,1,0
Younghoe Koo,15,969,302,5,33.3,10,30.2,0,0,0,0
Brandon McManus,14,864,159,8,57.1,5,31.8,1,0,1,0
Anders Carlson,10,621,174,2,20.0,7,24.9,0,0,1,0
Matthew Wright,8,496,266,1,12.5,7,38.0,0,0,0,1
Joshua Karty,6,391,32,5,83.3,1,32.0,0,0,0,0
Jude McAtamney,5,325,35,4,80.0,1,35.0,0,0,0,0
Spencer Shrader,5,325,0,5,100.0,0,0.0,0,0,0,0
Graham Gano,4,258,35,3,75.0,1,35.0,0,0,0,0
Riley Patterson,4,255,106,0,0.0,4,26.5,0,0,0,0
Cade York,4,198,22,1,25.0,1,22.0,1,0,1,0
Jamie Gillan,3,170,0,2,66.7,0,0.0,0,0,1,0
Mitch Wishnowsky,3,77,27,0,0.0,1,27.0,2,0,0,0
Chase McLaughlin,2,26,0,0,0.0,0,0.0,2,1,0,0
Jake Bailey,1,34,0,0,0.0,0,0.0,1,0,1,0
Logan Cooke,1,22,0,0,0.0,0,0.0,0,0,0,0
Jake Elliott,1,65,0,1,100.0,0,0.0,0,0,0,0
Matthew Hayball,1,3,0,0,0.0,0,0.0,1,0,0,0
Johnny Hekker,1,12,0,0,0.0,0,0.0,1,0,1,0
Rigoberto Sanchez,1,10,0,0,0.0,0,0.0,1,0,0,0
Tory Taylor,1,16,0,0,0.0,0,0.0,1,0,0,0
Daniel Whelan,1,12,0,0,0.0,0,0.0,1,0,0,0
Ryan Wright,1,13,0,0,0.0,0,0.0,1,0,0,0
