Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Parker Washington,24.0,6,144,1,1,1,96,4,0
Anthony Gould,19.0,1,19,0,0,0,19,4,0
Derius Davis,17.0,7,119,0,1,1,53,12,0
Kalif Raymond,16.6,19,315,1,3,2,90,6,0
KaVontae Turpin,16.2,9,146,1,2,1,60,7,0
Rashid Shaheed,15.9,9,143,1,2,2,54,2,1
Marcus Jones,15.6,17,266,0,3,2,62,4,1
Clark Phillips III,15.0,1,15,0,0,0,15,0,0
Olamide Zaccheaus,15.0,9,135,0,2,0,24,10,1
Braxton Berrios,14.7,7,103,0,2,1,44,12,0
Tylan Wallace,14.0,3,42,0,1,0,21,6,0
Robert Woods,14.0,7,98,0,1,0,36,7,0
DJ Turner,13.5,4,54,0,1,0,24,2,0
Calvin Austin III,12.9,16,206,1,2,1,73,11,0
Mecole Hardman,12.5,13,163,0,2,1,55,7,0
Tank Dell,12.0,2,24,0,0,0,13,0,0
Tyreik McAllister,12.0,2,24,0,0,0,14,0,0
Keisean Nixon,12.0,4,48,0,1,0,39,0,0
Brandon Codrington,11.9,15,179,0,2,0,29,5,1
Greg Dortch,11.8,9,106,0,1,0,27,2,0
Devin Duvernay,11.6,7,81,0,1,1,53,8,0
Marvin Mims Jr.,11.4,17,194,0,2,0,38,13,0
Cooper DeJean,11.3,9,102,0,1,0,28,14,1
Jaelon Darden,11.3,20,226,0,1,0,28,3,0
Tyreek Hill,11.0,1,11,0,0,0,11,0,0
Kameron Johnson,11.0,1,11,0,0,0,11,1,0
Josh Downs,10.9,11,120,0,1,0,23,4,0
Trey Palmer,10.9,7,76,0,0,0,17,5,0
Deonte Harty,10.6,8,85,0,0,0,16,4,0
Raheem Blackshear,9.8,12,118,0,0,0,16,2,0
Xavier Gipson,9.6,22,211,0,3,1,40,11,2
Ladd McConkey,9.3,3,28,0,0,0,12,8,0
Xavier Smith,9.3,9,84,0,1,0,38,10,0
Avery Williams,9.3,9,84,0,1,0,28,9,0
James Proche,9.2,13,119,0,0,0,17,1,0
Britain Covey,9.0,1,9,0,0,0,9,3,0
Trenton Irwin,8.7,3,26,0,0,0,13,1,0
Jermaine Jackson,8.3,6,50,0,0,0,18,7,0
DeAndre Carter,8.2,14,115,0,1,0,20,7,0
Jha'Quan Jackson,8.1,22,179,0,0,0,18,3,2
Kyle Juszczyk,8.0,1,8,0,0,0,8,0,0
Malik Washington,8.0,3,24,0,0,0,19,0,0
Dee Williams,7.4,13,96,0,1,0,23,15,2
Tre Tucker,7.3,6,44,0,1,0,21,3,0
Charlie Jones,7.1,14,99,0,1,0,23,5,1
Jacob Cowing,6.9,11,76,0,0,0,16,5,1
Brandon Powell,6.6,11,72,0,0,0,15,4,0
Ihmir Smith-Marsette,6.5,15,97,0,1,0,22,8,1
Jayden Reed,6.1,8,49,0,0,0,13,13,1
Kyren Williams,6.0,2,12,0,0,0,12,1,0
Steven Sims,4.3,13,56,0,0,0,19,7,2
Jalen McMillan,4.0,3,12,0,0,0,11,2,0
Austin Trammell,3.5,2,7,0,0,0,6,0,1
Desmond King,1.0,2,2,0,0,0,2,1,0
Corey Ballentine,0.0,1,0,0,0,0,0,0,1
Jalen Nailor,0.0,1,0,0,0,0,0,0,1
Darius Slayton,0.0,1,0,0,0,0,0,1,1
Jeremiah Trotter Jr.,0.0,1,0,0,0,0,0,0,0
Cedrick Wilson Jr.,0.0,1,0,0,0,0,0,0,1
Ameer Abdullah,-0.3,3,-1,0,0,0,0,1,1
