Player,Team,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
AJ Cole,Las Vegas Raiders,53.4,45.6,1640,37,70,1921,15,6,3,5,8,14,181,0,1
Jack Fox,Detroit Lions,52.2,47.4,1280,27,68,1408,13,1,4,4,8,10,48,0,0
Corey Bojorquez,Cleveland Browns,52.0,43.9,2196,50,84,2600,23,6,7,3,11,23,344,1,0
Cameron Johnston,Pittsburgh Steelers,51.5,37.5,75,2,58,103,1,0,0,0,1,1,28,0,0
Braden Mann,Philadelphia Eagles,51.3,44.9,1123,26,70,1282,7,3,2,3,3,14,99,0,1
Ryan Rehkow,Cincinnati Bengals,51.2,44.6,1382,31,80,1586,15,1,3,4,7,16,124,0,0
Logan Cooke,Jacksonville Jaguars,50.9,45.9,1560,34,73,1730,17,7,0,2,11,14,130,0,0
Ryan Stonehouse,Tennessee Titans,50.6,35.7,1391,41,75,1974,9,1,2,3,6,27,523,1,2
Bryce Baringer,New England Patriots,50.1,41.3,1857,45,69,2256,21,2,4,4,11,24,319,1,0
Matt Araiza,Kansas City Chiefs,50.0,43.6,960,22,67,1100,10,0,4,3,6,9,80,0,0
Bryan Anger,Dallas Cowboys,49.7,42.3,1016,24,62,1192,9,1,2,1,8,12,156,0,0
Michael Dickson,Seattle Seahawks,49.4,42.7,1708,40,68,1978,14,4,1,4,11,20,190,0,0
Rigoberto Sanchez,Indianapolis Colts,49.4,43.2,1730,40,65,1977,19,3,2,4,17,14,167,0,0
Blake Gillikin,Arizona Cardinals,49.4,43.2,1252,29,63,1432,13,2,5,1,7,14,160,0,0
Tory Taylor,Chicago Bears,49.1,42.2,1560,37,68,1818,16,5,3,2,8,19,218,0,0
J.K. Scott,Los Angeles Chargers,48.5,43.1,1812,42,67,2037,15,6,3,3,12,18,165,0,0
Thomas Morstead,New York Jets,48.0,41.6,1662,40,75,1919,13,2,3,5,11,19,157,0,0
Jamie Gillan,New York Giants,47.8,42.3,846,20,67,955,9,3,3,2,4,8,69,0,0
Daniel Whelan,Green Bay Packers,47.7,43.9,1361,31,74,1478,13,4,3,2,11,11,77,0,0
Sam Martin,Buffalo Bills,47.7,41.4,1324,32,65,1525,14,5,2,4,7,14,121,0,0
Bradley Pinion,Atlanta Falcons,47.4,39.3,983,25,65,1186,6,1,2,1,6,15,183,0,0
Matt Haack,New York Giants,47.0,39.5,829,21,66,988,9,2,0,1,9,9,139,1,0
Jake Bailey,Miami Dolphins,46.8,40.9,1105,28,59,1264,12,8,3,2,4,10,119,0,1
Corliss Waitman,Pittsburgh Steelers,46.8,42.8,1242,29,58,1357,14,2,2,4,10,11,35,0,0
Riley Dixon,Denver Broncos,46.7,42.6,1831,43,65,2009,20,3,6,3,16,15,118,0,0
Jordan Stout,Baltimore Ravens,46.5,40.8,1062,26,67,1208,11,3,3,2,6,12,106,0,0
Ryan Wright,Minnesota Vikings,46.5,41.6,1165,28,61,1301,15,3,3,3,7,12,76,0,0
Ethan Evans,Los Angeles Rams,46.4,41.8,962,23,67,1068,12,4,4,1,5,9,86,0,0
Tommy Townsend,Houston Texans,46.0,43.6,1788,42,66,1887,22,5,8,2,14,12,59,0,1
Tress Way,Washington Commanders,45.9,41.0,780,19,57,872,7,2,4,1,2,10,72,0,0
Mitch Wishnowsky,San Francisco 49ers,45.7,38.0,799,22,58,959,10,0,6,0,6,9,160,0,1
Johnny Hekker,Carolina Panthers,45.6,41.2,1647,40,65,1822,13,2,8,2,14,14,135,0,0
Jake Camarda,Tampa Bay Buccaneers,45.3,36.5,474,13,67,589,5,1,3,0,3,6,115,1,0
Matthew Hayball,New Orleans Saints,44.7,40.2,1567,39,59,1742,20,4,4,3,13,15,115,0,0
Chris Boswell,Pittsburgh Steelers,43.0,43.0,43,1,43,43,0,0,0,0,0,1,0,0,0
Trenton Gill,Tampa Bay Buccaneers,42.0,37.4,524,14,57,588,4,0,3,1,6,4,44,0,0
Ty Zentner,Los Angeles Rams,40.1,38.3,268,8,53,281,3,1,2,0,2,2,13,0,1
