Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Derrick Henry,1052,168,11,12,3,87,45,26.8,2
Saquon Barkley,925,157,6,8,4,65,35,22.3,1
Josh Jacobs,762,158,3,6,0,38,34,21.5,2
Jordan Mason,685,134,3,8,0,38,30,22.4,2
Chuba Hubbard,665,133,5,3,0,38,33,24.8,0
James Conner,664,147,4,3,0,22,43,29.2,1
Alvin Kamara,660,150,6,3,0,24,39,26.0,0
Jahmyr Gibbs,656,103,7,5,2,70,28,27.2,0
Bijan Robinson,632,135,4,2,0,28,31,23.0,0
Tony Pollard,622,142,3,4,1,41,29,20.4,0
J.K. Dobbins,620,126,6,5,3,61,31,24.6,0
Joe Mixon,609,126,6,5,1,59,29,23.0,0
Kyren Williams,602,161,8,1,0,30,43,26.7,2
Najee Harris,592,136,2,6,0,36,26,19.1,0
Aaron Jones,565,125,2,2,0,39,25,20.0,0
Tank Bigsby,515,93,4,4,2,65,21,22.6,1
Lamar Jackson,505,84,2,3,0,33,26,31.0,3
D'Andre Swift,505,125,4,4,1,56,22,17.6,1
Breece Hall,502,126,3,3,1,42,22,17.5,3
Jonathan Taylor,502,105,5,5,0,29,28,26.7,0
James Cook,496,109,7,1,1,49,27,24.8,0
David Montgomery,488,110,7,1,0,21,31,28.2,1
Chase Brown,479,105,4,4,0,30,20,19.0,1
Brian Robinson,461,101,6,2,1,40,27,26.7,0
Jayden Daniels,459,82,4,3,1,46,29,35.4,2
Tyrone Tracy Jr.,442,89,2,4,1,45,20,22.5,0
Rhamondre Stevenson,438,114,6,1,0,33,23,20.2,4
De'Von Achane,420,93,2,1,1,47,18,19.4,0
Bucky Irving,419,83,3,3,0,32,22,26.5,1
Kareem Hunt,414,111,5,0,0,15,22,19.8,0
Kenneth Walker III,398,99,6,5,0,28,18,18.2,0
Javonte Williams,387,102,2,1,0,20,21,20.6,2
Tyler Allgeier,370,74,2,2,0,24,24,32.4,0
Kyler Murray,350,43,2,5,2,50,14,32.6,3
Jalen Hurts,322,86,8,3,0,23,36,41.9,2
Rico Dowdle,321,71,0,0,0,15,19,26.8,1
Alexander Mattison,301,92,3,1,0,24,19,20.6,0
Bo Nix,295,58,4,5,0,32,27,46.6,0
Devin Singletary,283,70,2,2,1,43,15,21.4,2
Austin Ekeler,282,50,2,4,1,50,10,20.0,1
Rachaad White,275,70,1,1,1,56,13,18.6,1
Jerome Ford,269,52,1,2,0,36,17,32.7,0
Ray Davis,262,61,2,1,0,22,14,23.0,0
Travis Etienne,254,59,2,2,0,22,15,25.4,1
Emanuel Wilson,254,55,1,0,0,19,12,21.8,0
Zack Moss,242,74,2,0,0,16,13,17.6,2
Anthony Richardson,242,41,1,3,0,26,16,39.0,4
Daniel Jones,239,60,1,1,0,24,22,36.7,0
Antonio Gibson,236,57,0,2,1,45,10,17.5,1
Justin Fields,231,55,5,0,0,18,17,30.9,4
Isaac Guerendo,227,37,1,1,1,76,8,21.6,0
Caleb Williams,221,38,0,2,0,24,12,31.6,1
Raheem Mostert,214,55,2,0,0,18,11,20.0,2
Zach Charbonnet,213,61,4,0,0,13,13,21.3,0
Josh Allen,211,47,3,0,0,19,21,44.7,0
Brock Purdy,210,42,3,0,0,16,22,52.4,2
Drake Maye,209,21,1,2,0,26,13,61.9,1
Jaleel McLaughlin,208,53,1,1,0,21,10,18.9,0
Jaylen Wright,208,42,0,1,0,20,8,19.0,0
Braelon Allen,196,53,2,1,0,20,14,26.4,0
Cam Akers,193,46,1,0,0,15,8,17.4,1
Geno Smith,193,36,1,3,0,34,12,33.3,2
Baker Mayfield,189,33,2,0,0,18,13,39.4,2
Sean Tucker,186,26,1,1,0,36,9,34.6,0
Jeremy McNichols,183,34,3,2,0,28,8,23.5,0
Emari Demercado,175,17,1,2,2,53,6,35.3,0
Zamir White,174,60,1,0,0,17,4,6.7,2
D'Onta Foreman,155,46,0,1,0,25,6,13.0,1
Trey Benson,154,39,1,1,0,20,9,23.1,1
Ty Chandler,151,44,0,1,0,25,6,13.6,0
Jaylen Warren,151,41,0,0,0,18,8,19.5,0
Ezekiel Elliott,149,48,2,0,0,11,8,16.7,0
Carson Steele,149,44,0,0,0,9,13,29.6,3
Patrick Mahomes,148,36,1,1,0,33,13,36.1,0
Deshaun Watson,148,31,1,0,0,16,8,25.8,2
C.J. Stroud,143,31,0,1,0,25,10,32.3,2
Malik Willis,137,16,1,3,0,29,6,37.5,0
Isiah Pacheco,135,34,1,0,0,11,6,17.6,0
Miles Sanders,134,36,1,1,0,26,9,25.0,0
Trey Sermon,131,47,2,0,0,17,13,27.7,0
Tyler Goodson,128,27,1,1,0,33,4,14.8,0
Kenneth Gainwell,124,31,0,0,0,19,6,19.4,0
Jamaal Williams,124,32,1,0,0,14,8,25.0,0
Sam Darnold,120,31,0,0,0,19,12,38.7,2
Justice Hill,119,32,0,0,0,17,11,34.4,0
Joe Burrow,117,27,1,1,1,47,11,40.7,1
Taysom Hill,116,23,3,0,0,12,12,52.2,0
D'Ernest Johnson,114,28,0,0,0,13,6,21.4,0
Tyjae Spears,114,33,1,0,0,11,8,24.2,0
Nick Chubb,113,42,1,0,0,15,5,11.9,0
Gus Edwards,113,38,0,0,0,10,3,7.9,0
Trevor Lawrence,113,25,3,1,0,33,13,52.0,0
Jayden Reed,110,11,1,2,0,33,5,45.4,0
Roschon Johnson,108,35,4,0,0,9,11,31.4,0
Will Levis,106,16,0,1,0,21,9,56.2,0
Ty Johnson,99,17,1,0,0,19,7,41.2,0
Dameon Pierce,98,14,1,1,1,54,2,14.3,0
Audric Estimé,95,15,0,1,0,21,5,33.3,2
Cordarrelle Patterson,92,16,0,0,0,14,5,31.2,0
Tyler Badie,86,11,0,1,1,43,4,36.4,0
Justin Herbert,85,27,0,1,0,38,3,11.1,1
Ameer Abdullah,81,16,1,1,1,40,3,18.8,1
Blake Corum,72,21,0,0,0,12,6,28.6,0
Julius Chestnut,71,16,0,0,0,12,1,6.2,0
Tyler Huntley,67,16,1,1,0,20,6,37.5,1
Deebo Samuel Sr.,66,23,1,0,0,8,1,4.4,0
Pierre Strong,64,17,0,0,0,14,4,23.5,0
Jacoby Brissett,62,15,0,0,0,16,5,33.3,1
Spencer Rattler,61,9,0,1,0,28,3,33.3,1
Mason Rudolph,61,13,1,0,0,14,6,46.2,3
Dare Ogunbowale,57,24,0,0,0,7,3,12.5,0
Samaje Perine,55,14,1,0,0,10,5,35.7,0
Dak Prescott,54,13,1,1,0,22,5,38.5,0
Chris Brooks,53,13,0,0,0,11,3,23.1,0
CeeDee Lamb,52,10,0,0,0,18,3,30.0,0
Kendre Miller,52,9,0,0,0,16,2,22.2,0
Chris Rodriguez Jr.,52,11,0,0,0,17,3,27.3,0
Sterling Shepard,52,6,0,1,0,24,3,50.0,0
Ronnie Rivers,51,10,0,0,0,12,5,50.0,0
Ray-Ray McCloud,50,5,0,1,0,20,2,40.0,0
Zay Flowers,47,6,0,0,0,19,1,16.7,0
Gardner Minshew,46,15,0,0,0,11,4,26.7,1
Tua Tagovailoa,44,8,0,0,0,13,5,62.5,2
J.J. Taylor,44,10,0,0,0,9,1,10.0,0
Dorian Thompson-Robinson,44,3,0,1,0,34,2,66.7,0
Kimani Vidal,44,18,0,0,0,7,2,11.1,0
Aaron Rodgers,43,12,0,0,0,14,3,25.0,0
Bryce Young,41,13,1,0,0,9,2,15.4,0
Jeff Wilson,40,8,0,0,0,14,1,12.5,0
Ricky Pearsall,39,1,0,1,0,39,1,100.0,0
Ashton Dulin,38,4,0,0,0,12,2,50.0,0
Mecole Hardman,38,2,1,1,0,20,2,100.0,0
Xavier Worthy,37,9,2,1,0,21,2,22.2,0
Tyreek Hill,36,5,0,0,0,16,2,40.0,0
Marcus Mariota,36,13,0,0,0,11,3,23.1,0
Andy Dalton,34,11,0,0,0,18,2,18.2,1
Bo Melton,34,5,0,0,0,16,3,60.0,0
DJ Turner,33,5,1,0,0,18,1,20.0,0
JaMycal Hasty,32,11,0,0,0,9,0,0.0,0
Calvin Ridley,32,4,1,0,0,10,2,50.0,1
Jameson Williams,32,4,0,0,0,15,3,75.0,0
Derius Davis,31,5,0,0,0,10,2,40.0,0
Jameis Winston,31,12,0,0,0,13,9,75.0,0
Tank Dell,30,6,0,0,0,18,2,33.3,0
Xavier Smith,30,2,0,1,0,24,1,50.0,0
Jordan Mims,29,10,0,0,0,6,0,0.0,0
Rashid Shaheed,29,6,0,0,0,13,2,33.3,0
Tre Tucker,29,5,1,0,0,11,2,40.0,0
Jordan Love,28,13,0,0,0,12,4,30.8,3
Jalen McMillan,28,2,0,0,0,17,2,100.0,0
Eric Gray,26,12,0,0,0,6,1,8.3,1
Joe Flacco,25,8,0,1,0,21,2,25.0,1
Patrick Taylor,25,7,0,0,0,6,1,14.3,0
Craig Reynolds,24,9,0,0,0,6,1,11.1,1
Derek Carr,22,8,1,0,0,8,2,25.0,0
Xavier Legette,22,5,0,0,0,8,2,40.0,0
Jonathan Ward,22,5,0,0,0,7,1,20.0,0
Kyle Juszczyk,21,3,1,0,0,14,1,33.3,0
Dalvin Cook,20,8,0,0,0,4,0,0.0,0
Deuce Vaughn,20,7,0,0,0,4,0,0.0,0
Hunter Luepke,19,6,0,0,0,6,4,66.7,0
Malachi Corley,18,1,0,0,0,18,0,0.0,1
Isaiah Davis,18,4,0,0,0,12,2,50.0,0
Jake Haener,18,7,0,0,0,9,0,0.0,0
Hassan Haskins,18,8,0,0,0,5,4,50.0,0
Wan'Dale Robinson,18,2,0,0,0,14,1,50.0,0
Jase McClellan,17,5,0,0,0,6,1,20.0,0
Marvin Mims Jr.,17,1,0,0,0,17,1,100.0,0
Aaron Shampklin,17,6,0,0,0,5,1,16.7,0
Jordan Addison,16,2,1,0,0,9,1,50.0,0
Jared Goff,16,17,0,0,0,8,3,17.6,0
Khalil Herbert,16,8,1,0,0,6,3,37.5,0
Travis Homer,16,3,0,0,0,6,1,33.3,0
Kenny McIntosh,16,4,0,0,0,6,1,25.0,0
MarShawn Lloyd,15,6,0,0,0,5,0,0.0,0
DJ Moore,15,4,0,0,0,14,1,25.0,0
Rome Odunze,15,3,0,0,0,8,1,33.3,0
Brian Thomas Jr.,15,3,0,0,0,13,1,33.3,0
Adonai Mitchell,14,2,0,0,0,10,1,50.0,0
KaVontae Turpin,14,5,0,0,0,11,1,20.0,1
Jahan Dotson,13,1,0,0,0,13,1,100.0,0
Alec Ingold,13,9,1,0,0,6,5,55.6,2
Terrell Jennings,13,5,0,0,0,5,0,0.0,0
Drew Lock,13,1,0,0,0,13,1,100.0,0
Brock Bowers,12,1,0,0,0,12,1,100.0,0
Josh Downs,12,1,0,0,0,13,1,100.0,0
Puka Nacua,12,3,0,0,0,7,0,0.0,0
Will Shipley,12,10,0,0,0,5,0,0.0,0
Ja'Marr Chase,11,1,0,0,0,11,1,100.0,0
Matthew Hayball,11,1,0,0,0,11,1,100.0,0
Velus Jones Jr.,11,2,0,0,0,6,1,50.0,0
Tyreik McAllister,11,2,0,0,0,10,1,50.0,0
Darius Slayton,11,1,0,0,0,11,1,100.0,0
Tim Boyle,10,2,0,0,0,6,1,50.0,0
Devin Duvernay,10,3,0,0,0,4,1,33.3,0
C.J. Ham,10,2,1,0,0,8,1,50.0,0
Cooper Kupp,10,2,0,0,0,9,1,50.0,0
Russell Wilson,10,6,1,0,0,5,2,33.3,0
Demario Douglas,9,1,0,0,0,9,0,0.0,0
Malik Washington,9,1,0,0,0,9,0,0.0,0
Stefon Diggs,8,3,1,0,0,6,1,33.3,0
Troy Franklin,8,2,0,0,0,5,0,0.0,0
Tutu Atwell,7,1,0,0,0,7,0,0.0,0
Mike Boone,7,4,0,0,0,5,0,0.0,0
Chris Olave,7,1,0,0,0,7,1,100.0,0
Tyrod Taylor,7,1,0,0,0,7,0,0.0,0
Jaylen Waddle,7,2,0,0,0,4,0,0.0,0
Diontae Johnson,6,2,0,0,0,4,1,50.0,0
Quentin Johnston,6,3,0,0,0,4,0,0.0,0
Curtis Samuel,6,3,0,0,0,7,0,0.0,0
Jonathan Mingo,5,2,0,0,0,3,0,0.0,1
Cooper Rush,5,3,0,0,0,4,2,66.7,1
Sione Vaki,5,1,0,0,0,5,0,0.0,0
Garrett Wilson,5,1,0,0,0,5,1,100.0,0
Greg Dortch,4,1,0,0,0,4,0,0.0,0
Tucker Kraft,4,2,0,0,0,2,2,100.0,0
Khalil Shakir,4,2,0,0,0,2,0,0.0,0
Skylar Thompson,4,1,0,0,0,4,0,0.0,0
Tyler Boyd,3,1,0,0,0,3,1,100.0,0
Justin Jefferson,3,1,0,0,0,3,0,0.0,0
Jakobi Meyers,3,1,0,0,0,3,0,0.0,0
Jalen Nailor,3,2,0,0,0,3,1,50.0,0
British Brooks,2,1,0,0,0,2,0,0.0,0
Brandin Cooks,2,2,0,0,0,5,0,0.0,0
DeeJay Dallas,2,1,0,0,0,2,0,0.0,0
Chris Godwin,2,1,0,0,0,2,1,100.0,0
Josh Johnson,2,3,0,0,0,2,0,0.0,0
Charlie Kolar,2,1,0,0,0,2,1,100.0,0
Trey McBride,2,1,1,0,0,2,1,100.0,0
Terry McLaurin,2,2,0,0,0,2,0,0.0,1
Desmond Ridder,2,1,0,0,0,2,0,0.0,0
Ainias Smith,2,1,0,0,0,2,0,0.0,0
Treylon Burks,1,2,0,0,0,6,0,0.0,0
