Player,Team,Comb,Asst,Solo,Sck
Zaire Franklin,Indianapolis Colts,95,47,35,0.0
Budda Baker,Arizona Cardinals,91,33,54,0.0
Logan Wilson,Cincinnati Bengals,88,42,39,0.0
Nick Cross,Indianapolis Colts,86,33,42,0.0
Robert Spillane,Las Vegas Raiders,86,34,41,1.0
Roquan Smith,Baltimore Ravens,85,38,41,0.0
Dorian Williams,Buffalo Bills,84,32,41,0.0
E.J. Speed,Indianapolis Colts,82,24,50,0.0
Germaine Pratt,Cincinnati Bengals,81,34,40,0.0
Jamien Sherwood,New York Jets,80,30,42,2.0
Zack Baun,Philadelphia Eagles,79,27,46,2.0
Kaden Elliss,Atlanta Falcons,78,33,36,1.0
Bobby Wagner,Washington Commanders,76,32,39,2.0
Tyrel Dodson,Seattle Seahawks,71,30,33,2.0
Eric Kendricks,Dallas Cowboys,70,37,27,2.0
Daiyan Henley,Los Angeles Chargers,68,25,33,0.0
Ernest Jones,Seattle Seahawks,68,26,32,0.0
Kyle Hamilton,Baltimore Ravens,67,19,41,2.0
Kyzir White,Arizona Cardinals,67,40,20,0.5
Fred Warner,San Francisco 49ers,66,26,33,1.0
Brandon Jones,Denver Broncos,65,23,40,0.0
Julian Love,Seattle Seahawks,65,18,41,0.0
Tre'von Moehrig,Las Vegas Raiders,65,22,36,0.5
Christian Rozeboom,Los Angeles Rams,65,32,31,0.0
Lavonte David,Tampa Bay Buccaneers,64,24,33,3.0
Bobby Okereke,New York Giants,64,31,29,2.0
Quay Walker,Green Bay Packers,64,18,34,1.5
Quincy Williams,New York Jets,64,18,43,0.0
Jordyn Brooks,Miami Dolphins,62,27,29,1.0
Jack Campbell,Detroit Lions,62,30,27,1.0
Quentin Lake,Los Angeles Rams,62,22,33,2.0
Ventrell Miller,Jacksonville Jaguars,62,20,38,0.0
Jeremiah Owusu-Koramoah,Cleveland Browns,61,22,33,3.0
Xavier Woods,Carolina Panthers,61,24,33,0.0
Nakobe Dean,Philadelphia Eagles,60,23,32,2.0
T.J. Edwards,Chicago Bears,60,25,29,1.0
Jaylon Jones,Chicago Bears,59,19,32,0.0
Jahlani Tavai,New England Patriots,59,29,26,0.0
Jordan Whitehead,Tampa Bay Buccaneers,59,23,31,0.0
