Team,Week,Outcome,Points Scored,Opponent,Points Allowed
Ravens,Week 1,Loss,20,Chiefs,27
Chiefs,Week 1,Win,27,Ravens,20
Packers,Week 1,Loss,29,Eagles,34
Eagles,Week 1,Win,34,Packers,29
Steelers,Week 1,Win,18,Falcons,10
Falcons,Week 1,Loss,10,Steelers,18
Cardinals,Week 1,Loss,28,Bills,34
Bills,Week 1,Win,34,Cardinals,28
Titans,Week 1,Loss,17,Bears,24
Bears,Week 1,Win,24,Titans,17
Patriots,Week 1,Win,16,Bengals,10
Bengals,Week 1,Loss,10,Patriots,16
Texans,Week 1,Win,29,Colts,27
Colts,Week 1,Loss,27,Texans,29
Jaguars,Week 1,Loss,17,Dolphins,20
Dolphins,Week 1,Win,20,Jaguars,17
Panthers,Week 1,Loss,10,Saints,47
Saints,Week 1,Win,47,Panthers,10
Vikings,Week 1,Win,28,Giants,6
Giants,Week 1,Loss,6,Vikings,28
Raiders,Week 1,Loss,10,Chargers,22
Chargers,Week 1,Win,22,Raiders,10
Broncos,Week 1,Loss,20,Seahawks,26
Seahawks,Week 1,Win,26,Broncos,20
Cowboys,Week 1,Win,33,Browns,17
Browns,Week 1,Loss,17,Cowboys,33
Commanders,Week 1,Loss,20,Buccaneers,37
Buccaneers,Week 1,Win,37,Commanders,20
Rams,Week 1,Loss,20,Lions,26
Lions,Week 1,Win,26,Rams,20
Jets,Week 1,Loss,19,49ers,32
49ers,Week 1,Win,32,Jets,19
Bills,Week 2,Win,31,Dolphins,10
Dolphins,Week 2,Loss,10,Bills,31
Raiders,Week 2,Win,26,Ravens,23
Ravens,Week 2,Loss,23,Raiders,26
Chargers,Week 2,Win,26,Panthers,3
Panthers,Week 2,Loss,3,Chargers,26
Saints,Week 2,Win,44,Cowboys,19
Cowboys,Week 2,Loss,19,Saints,44
Buccaneers,Week 2,Win,20,Lions,16
Lions,Week 2,Loss,16,Buccaneers,20
Colts,Week 2,Loss,10,Packers,16
Packers,Week 2,Win,16,Colts,10
Browns,Week 2,Win,18,Jaguars,13
Jaguars,Week 2,Loss,13,Browns,18
49ers,Week 2,Loss,17,Vikings,23
Vikings,Week 2,Win,23,49ers,17
Seahawks,Week 2,Win,23,Patriots,20
Patriots,Week 2,Loss,20,Seahawks,23
Jets,Week 2,Win,24,Titans,17
Titans,Week 2,Loss,17,Jets,24
Giants,Week 2,Loss,18,Commanders,21
Commanders,Week 2,Win,21,Giants,18
Rams,Week 2,Loss,10,Cardinals,41
Cardinals,Week 2,Win,41,Rams,10
Steelers,Week 2,Win,13,Broncos,6
Broncos,Week 2,Loss,6,Steelers,13
Bengals,Week 2,Loss,25,Chiefs,26
Chiefs,Week 2,Win,26,Bengals,25
Bears,Week 2,Loss,13,Texans,19
Texans,Week 2,Win,19,Bears,13
Falcons,Week 2,Win,22,Eagles,21
Eagles,Week 2,Loss,21,Falcons,22
Patriots,Week 3,Loss,3,Jets,24
Jets,Week 3,Win,24,Patriots,3
Giants,Week 3,Win,21,Browns,15
Browns,Week 3,Loss,15,Giants,21
Bears,Week 3,Loss,16,Colts,21
Colts,Week 3,Win,21,Bears,16
Texans,Week 3,Loss,7,Vikings,34
Vikings,Week 3,Win,34,Texans,7
Eagles,Week 3,Win,15,Saints,12
Saints,Week 3,Loss,12,Eagles,15
Chargers,Week 3,Loss,10,Steelers,20
Steelers,Week 3,Win,20,Chargers,10
Broncos,Week 3,Win,26,Buccaneers,7
Buccaneers,Week 3,Loss,7,Broncos,26
Packers,Week 3,Win,30,Titans,14
Titans,Week 3,Loss,14,Packers,30
Panthers,Week 3,Win,36,Raiders,22
Raiders,Week 3,Loss,22,Panthers,36
Dolphins,Week 3,Loss,3,Seahawks,24
Seahawks,Week 3,Win,24,Dolphins,3
Lions,Week 3,Win,20,Cardinals,13
Cardinals,Week 3,Loss,13,Lions,20
Ravens,Week 3,Win,28,Cowboys,25
Cowboys,Week 3,Loss,25,Ravens,28
49ers,Week 3,Loss,24,Rams,27
Rams,Week 3,Win,27,49ers,24
Chiefs,Week 3,Win,22,Falcons,17
Falcons,Week 3,Loss,17,Chiefs,22
Jaguars,Week 3,Loss,10,Bills,47
Bills,Week 3,Win,47,Jaguars,10
Commanders,Week 3,Win,38,Bengals,33
Bengals,Week 3,Loss,33,Commanders,38
Cowboys,Week 4,Win,20,Giants,15
Giants,Week 4,Loss,15,Cowboys,20
Saints,Week 4,Loss,24,Falcons,26
Falcons,Week 4,Win,26,Saints,24
Bengals,Week 4,Win,34,Panthers,24
