Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Browns  Browns,117,37,9,6,88,55.7,58,23.6,556
Giants  Giants,108,36,13,9,85,48.0,64,25.9,553
Texans  Texans,114,38,12,9,81,53.3,52,24.0,533
Broncos  Broncos,125,46,12,4,92,48.2,49,19.9,579
Patriots  Patriots,112,51,6,1,103,55.4,68,24.7,591
Saints  Saints,105,40,11,4,98,50.3,67,27.7,589
Raiders  Raiders,114,44,6,4,100,52.9,57,22.1,577
Jets  Jets,120,43,10,8,71,49.0,72,25.9,588
Bengals  Bengals,119,53,18,12,98,50.3,82,29.5,612
Chargers  Chargers,107,35,11,6,75,44.6,45,23.8,495
Colts  Colts,126,55,14,9,108,52.9,75,24.8,635
Buccaneers  Buccaneers,116,50,19,14,116,49.8,67,28.2,624
Chiefs  Chiefs,94,34,13,6,82,48.5,42,23.1,474
Eagles  Eagles,95,36,9,5,82,52.6,47,25.5,480
Steelers  Steelers,98,34,10,6,84,48.6,44,24.0,487
Commanders  Commanders,98,41,13,8,93,56.7,70,27.9,528
Bears  Bears,106,35,10,5,77,50.7,53,25.0,501
Seahawks  Seahawks,123,46,8,4,97,49.7,68,25.8,599
Packers  Packers,103,34,12,7,96,52.5,66,27.5,557
Panthers  Panthers,118,57,9,4,107,56.6,83,26.4,615
Falcons  Falcons,117,54,16,7,107,47.4,78,29.7,613
Dolphins  Dolphins,91,30,5,3,75,52.8,55,25.5,474
Cowboys  Cowboys,99,35,16,11,78,52.7,73,28.6,510
Bills  Bills,109,44,19,7,106,51.0,57,24.7,572
Titans  Titans,96,30,7,5,68,46.6,46,22.4,470
Jaguars  Jaguars,119,53,12,7,119,55.4,59,22.9,600
Cardinals  Cardinals,110,53,14,8,112,56.3,72,27.0,597
49ers  49ers,102,45,14,8,88,54.7,47,23.9,490
Rams  Rams,89,32,6,5,90,60.4,64,25.9,514
Ravens  Ravens,119,55,10,4,133,58.6,34,17.0,591
Lions  Lions,87,26,15,6,98,49.8,45,25.6,518
Vikings  Vikings,102,33,17,6,113,55.9,26,15.2,525
