Team,FF,FR,FR TD,Rec FUM,Rush FUM
49ers  49ers,12,5,0,4,4
Colts  Colts,11,9,1,3,6
Bills  Bills,9,7,0,1,5
Bears  Bears,9,8,0,4,3
Patriots  Patriots,9,4,0,1,6
Saints  Saints,9,3,0,2,4
Cardinals  Cardinals,9,5,0,4,3
Seahawks  Seahawks,9,3,2,1,6
Buccaneers  Buccaneers,9,6,1,4,6
Lions  Lions,8,4,0,4,4
Steelers  Steelers,8,5,0,0,4
Browns  Browns,7,4,1,0,4
Cowboys  Cowboys,7,2,0,2,2
Packers  Packers,7,9,0,3,5
Chiefs  Chiefs,7,3,1,2,2
Giants  Giants,7,6,0,3,3
Commanders  Commanders,7,5,0,1,3
Falcons  Falcons,6,3,1,3,6
Broncos  Broncos,6,5,1,2,2
Texans  Texans,6,4,0,2,3
Rams  Rams,6,3,1,1,3
Vikings  Vikings,6,4,1,1,3
Jets  Jets,6,5,0,2,4
Eagles  Eagles,6,2,0,1,4
Ravens  Ravens,5,3,0,2,0
Bengals  Bengals,5,4,0,1,4
Titans  Titans,5,3,0,2,2
Chargers  Chargers,5,4,0,1,3
Panthers  Panthers,4,5,0,3,0
Jaguars  Jaguars,3,3,1,0,3
Dolphins  Dolphins,3,2,0,0,2
Raiders  Raiders,0,0,0,1,2
