Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef
Seahawks  Seahawks,195,2111,10.8,14,27,4,76T,97,49.7,1,33
Buccaneers  Buccaneers,233,2482,10.6,18,29,6,59,116,49.8,4,39
Bengals  Bengals,195,2010,10.3,13,20,4,55,98,50.3,1,39
Raiders  Raiders,189,1904,10.1,15,21,1,47T,100,52.9,1,41
Browns  Browns,158,2017,12.8,12,33,6,66T,88,55.7,0,40
Cowboys  Cowboys,148,1841,12.4,13,25,7,70T,78,52.7,2,28
Falcons  Falcons,226,2016,8.9,15,18,1,40,107,47.4,3,31
Jets  Jets,145,1631,11.2,6,26,4,50,71,49.0,2,32
Giants  Giants,177,1944,11.0,11,26,5,55T,85,48.0,3,28
Texans  Texans,152,1716,11.3,19,24,6,69T,81,53.3,2,49
Chiefs  Chiefs,169,1743,10.3,11,15,6,50,82,48.5,2,33
Broncos  Broncos,191,1858,9.7,11,22,2,57T,92,48.2,2,28
Panthers  Panthers,189,2149,11.4,18,26,5,63T,107,56.6,3,29
Rams  Rams,149,1965,13.2,15,30,5,66T,90,60.4,1,26
Saints  Saints,195,2279,11.7,8,30,8,65T,98,50.3,2,48
Commanders  Commanders,164,1791,10.9,14,21,2,44,93,56.7,1,26
Packers  Packers,183,2030,11.1,13,27,1,67T,96,52.5,3,30
Patriots  Patriots,186,2112,11.4,12,28,4,58,103,55.4,1,32
Ravens  Ravens,227,2718,12.0,18,43,3,70T,133,58.6,2,46
Jaguars  Jaguars,215,2502,11.6,19,39,7,80T,119,55.4,0,30
Bills  Bills,208,2027,9.8,11,19,2,67T,106,51.0,1,37
Cardinals  Cardinals,199,2182,11.0,11,24,5,53,112,56.3,4,31
Dolphins  Dolphins,142,1531,10.8,8,19,2,71T,75,52.8,0,30
Lions  Lions,197,2126,10.8,6,24,5,63,98,49.8,4,44
Bears  Bears,152,1692,11.1,5,23,4,61,77,50.7,4,34
Titans  Titans,146,1379,9.4,12,17,2,57,68,46.6,2,24
Vikings  Vikings,202,2183,10.8,14,26,1,42,113,55.9,1,52
49ers  49ers,161,1764,11.0,10,22,3,97T,88,54.7,4,40
Eagles  Eagles,156,1666,10.7,8,20,3,70T,82,52.6,1,45
Colts  Colts,204,2255,11.0,14,26,7,85T,108,52.9,3,30
Chargers  Chargers,168,1708,10.2,7,22,2,55T,75,44.6,1,48
Steelers  Steelers,173,1908,11.0,8,22,4,57,84,48.6,0,35
