Team,Sck,Comb,Asst,Solo
Giants  Giants,35,582,231,320
Broncos  Broncos,31,601,233,333
Jets  Jets,31,562,198,343
Texans  Texans,29,472,152,310
Ravens  Ravens,28,557,203,337
Browns  Browns,27,527,163,332
Vikings  Vikings,27,508,195,286
Buccaneers  Buccaneers,25,604,230,357
Chargers  Chargers,24,483,173,288
Commanders  Commanders,24,533,195,332
Bears  Bears,23,490,175,290
Packers  Packers,22,560,217,317
Eagles  Eagles,22,449,162,277
Bills  Bills,21,571,189,341
Rams  Rams,21,539,234,271
Cardinals  Cardinals,21,626,257,331
Seahawks  Seahawks,21,602,224,369
Lions  Lions,20,470,148,311
Colts  Colts,20,678,245,364
Jaguars  Jaguars,20,592,216,361
49ers  49ers,20,469,172,286
Saints  Saints,19,548,183,367
Steelers  Steelers,19,475,171,282
Cowboys  Cowboys,18,516,199,321
Titans  Titans,18,456,163,284
Bengals  Bengals,17,617,246,342
Chiefs  Chiefs,17,446,152,284
Raiders  Raiders,17,580,224,331
Patriots  Patriots,16,602,240,347
Panthers  Panthers,10,640,267,358
Dolphins  Dolphins,10,461,178,258
Falcons  Falcons,9,616,222,380
