Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Browns  Browns,129,37,21,13,87,42.0,51,25.0,604
Giants  Giants,127,46,19,12,94,47.7,62,26.0,598
Texans  Texans,125,48,10,7,113,57.6,53,20.7,624
Broncos  Broncos,122,41,16,9,78,41.7,68,27.6,577
Patriots  Patriots,122,42,12,8,79,44.9,51,22.7,555
Saints  Saints,118,45,14,8,85,46.7,70,27.2,585
Raiders  Raiders,116,39,13,4,107,50.7,35,17.6,566
Jets  Jets,115,46,6,2,107,52.7,42,21.2,556
Bengals  Bengals,113,53,7,4,120,56.6,45,21.6,547
Chargers  Chargers,113,45,4,2,76,51.7,45,19.8,495
Colts  Colts,112,41,11,7,81,55.1,67,28.5,539
Buccaneers  Buccaneers,110,57,6,3,123,54.7,63,27.9,578
Chiefs  Chiefs,109,58,7,6,105,55.8,64,25.3,555
Eagles  Eagles,109,43,17,11,81,54.0,78,27.3,537
Steelers  Steelers,109,43,8,5,70,49.0,60,22.6,529
Commanders  Commanders,109,50,11,11,104,57.1,80,27.3,594
Bears  Bears,108,34,16,10,79,48.8,52,23.2,530
Seahawks  Seahawks,108,38,14,7,128,54.7,44,21.9,587
Packers  Packers,107,40,7,4,96,54.6,69,24.6,595
Panthers  Panthers,105,34,18,5,82,44.8,49,23.7,525
Falcons  Falcons,104,40,15,11,110,53.7,59,24.9,571
Dolphins  Dolphins,104,41,16,3,82,48.8,57,23.4,535
Cowboys  Cowboys,103,39,17,6,98,47.3,42,24.3,542
Bills  Bills,102,39,9,9,93,54.7,70,28.6,539
Titans  Titans,101,33,11,5,77,48.4,56,24.6,513
Jaguars  Jaguars,98,31,18,9,97,55.8,57,27.0,528
Cardinals  Cardinals,97,40,9,3,84,49.7,75,29.6,536
49ers  49ers,97,42,7,3,100,64.1,64,25.8,529
Rams  Rams,95,34,13,7,89,48.9,56,27.0,514
Ravens  Ravens,94,43,7,4,114,65.1,85,28.9,582
Lions  Lions,89,37,12,7,92,56.1,67,27.0,498
Vikings  Vikings,88,36,5,3,89,56.7,49,22.6,484
