Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Seahawks  Seahawks,234,2595,11.1,11,29,3,71,128,54.7,3
Buccaneers  Buccaneers,225,2389,10.6,23,27,2,55,123,54.7,4
Bengals  Bengals,212,2244,10.6,20,22,7,70,120,56.6,3
Raiders  Raiders,211,2030,9.6,9,21,2,57,107,50.7,0
Browns  Browns,207,1882,9.1,10,18,0,38,87,42.0,0
Cowboys  Cowboys,207,2145,10.4,12,24,3,65,98,47.3,5
Falcons  Falcons,205,2342,11.4,17,28,5,52,110,53.7,3
Jets  Jets,203,2143,10.6,16,31,2,57,107,52.7,2
Giants  Giants,197,1886,9.6,8,18,2,43,94,47.7,0
Texans  Texans,196,2231,11.4,11,25,4,67,113,57.6,0
Chiefs  Chiefs,188,1942,10.3,11,20,3,54,105,55.8,2
Broncos  Broncos,187,1786,9.6,9,29,1,49T,78,41.7,4
Panthers  Panthers,183,1683,9.2,10,22,1,46,82,44.8,4
Rams  Rams,182,1969,10.8,9,25,3,63,89,48.9,0
Saints  Saints,182,1976,10.9,11,22,5,70,85,46.7,2
Commanders  Commanders,182,2148,11.8,11,30,6,66,104,57.1,1
Packers  Packers,176,2200,12.5,18,32,8,70,96,54.6,1
Patriots  Patriots,176,1598,9.1,8,15,2,50,79,44.9,1
Ravens  Ravens,175,2380,13.6,20,33,7,59,114,65.1,0
Jaguars  Jaguars,174,2032,11.7,11,31,4,85T,97,55.8,3
Bills  Bills,170,2006,11.8,17,30,6,63,93,54.7,1
Cardinals  Cardinals,169,1792,10.6,11,21,1,60T,84,49.7,5
Dolphins  Dolphins,168,1665,9.9,6,15,2,80T,82,48.8,1
Lions  Lions,164,1892,11.5,16,25,6,70,92,56.1,0
Bears  Bears,162,1665,10.3,9,18,4,47T,79,48.8,2
Titans  Titans,159,1505,9.5,9,19,2,47,77,48.4,3
Vikings  Vikings,157,1946,12.4,17,32,4,97T,89,56.7,3
49ers  49ers,156,2101,13.5,10,30,8,76T,100,64.1,2
Eagles  Eagles,150,1774,11.8,10,26,8,67T,81,54.0,1
Colts  Colts,147,1877,12.8,11,27,8,69,81,55.1,1
Chargers  Chargers,147,1749,11.9,10,25,4,66,76,51.7,2
Steelers  Steelers,143,1667,11.7,8,24,4,55,70,49.0,2
