Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ravens  Ravens,294,1727,5.9,13,15,3,87T,85,28.9,5
Commanders  Commanders,293,1475,5.0,15,11,3,50,80,27.3,4
Eagles  Eagles,286,1398,4.9,14,11,4,65T,78,27.3,3
Packers  Packers,280,1393,5.0,6,11,0,38,69,24.6,5
Steelers  Steelers,266,1105,4.2,8,6,0,36T,60,22.6,4
Saints  Saints,257,1128,4.4,11,4,0,28T,70,27.2,1
Texans  Texans,256,1138,4.4,9,7,2,59,53,20.7,3
Chiefs  Chiefs,253,979,3.9,11,3,0,33T,64,25.3,3
Cardinals  Cardinals,253,1347,5.3,9,11,4,53,75,29.6,6
Lions  Lions,248,1221,4.9,14,6,2,70T,67,27.0,2
49ers  49ers,248,1272,5.1,9,10,1,76,64,25.8,4
Broncos  Broncos,246,1093,4.4,7,9,1,43,68,27.6,4
Bills  Bills,245,1072,4.4,13,2,1,49T,70,28.6,0
Dolphins  Dolphins,244,1071,4.4,6,3,1,47,57,23.4,7
Giants  Giants,238,1032,4.3,5,7,2,45T,62,26.0,3
Falcons  Falcons,237,1066,4.5,6,5,0,28,59,24.9,3
Colts  Colts,235,1092,4.6,9,10,0,33T,67,28.5,5
Titans  Titans,228,1005,4.4,6,5,1,41T,56,24.6,4
Chargers  Chargers,227,916,4.0,6,6,3,61,45,19.8,2
Buccaneers  Buccaneers,226,1143,5.1,7,6,1,56,63,27.9,4
Patriots  Patriots,225,999,4.4,7,5,1,45T,51,22.7,7
Bears  Bears,224,900,4.0,9,6,1,56T,52,23.2,2
Vikings  Vikings,217,913,4.2,4,3,0,39,49,22.6,2
Jaguars  Jaguars,211,1021,4.8,9,7,2,65T,57,27.0,2
Bengals  Bengals,208,848,4.1,7,5,1,47,45,21.6,4
Panthers  Panthers,207,912,4.4,7,4,0,38T,49,23.7,2
Rams  Rams,207,777,3.8,8,2,0,30,56,27.0,3
Browns  Browns,204,819,4.0,3,4,0,36,51,25.0,3
Seahawks  Seahawks,201,821,4.1,11,8,0,34T,44,21.9,2
Raiders  Raiders,199,692,3.5,7,2,1,40T,35,17.6,5
Jets  Jets,198,789,4.0,5,4,1,42T,42,21.2,4
Cowboys  Cowboys,173,656,3.8,3,1,0,22,42,24.3,3
