Team,Rsh TD,Rec TD,Tot TD,2-PT
Commanders  Commanders,15,11,27,1
Lions  Lions,14,16,32,0
Eagles  Eagles,14,10,24,2
Ravens  Ravens,13,20,34,0
Bills  Bills,13,17,31,1
Chiefs  Chiefs,11,11,23,0
Saints  Saints,11,11,23,0
Seahawks  Seahawks,11,11,25,0
Bears  Bears,9,9,20,2
Texans  Texans,9,11,20,0
Colts  Colts,9,11,21,0
Jaguars  Jaguars,9,11,22,3
Cardinals  Cardinals,9,11,22,2
49ers  49ers,9,10,21,0
Rams  Rams,8,9,20,0
Steelers  Steelers,8,8,17,0
Panthers  Panthers,7,10,17,0
Bengals  Bengals,7,20,28,1
Broncos  Broncos,7,9,18,0
Raiders  Raiders,7,9,17,2
Patriots  Patriots,7,8,15,1
Buccaneers  Buccaneers,7,23,31,1
Falcons  Falcons,6,17,25,1
Packers  Packers,6,18,25,2
Titans  Titans,6,9,15,0
Dolphins  Dolphins,6,6,12,0
Chargers  Chargers,6,10,16,0
Giants  Giants,5,8,14,0
Jets  Jets,5,16,21,1
Vikings  Vikings,4,17,24,0
Browns  Browns,3,10,15,2
Cowboys  Cowboys,3,12,16,1
