Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Commanders  Commanders,25,29,86.2,0_0,10_10,7_7,8_7,4_1,0_0,55,1
Steelers  Steelers,23,24,95.8,0_0,7_7,5_5,5_5,6_6,1_0,57,0
49ers  49ers,22,23,95.6,0_0,9_9,3_3,6_6,5_4,0_0,55,0
Texans  Texans,21,25,84.0,0_0,3_2,6_6,4_3,12_10,0_0,59,0
Cowboys  Cowboys,20,22,90.9,0_0,1_1,5_4,6_6,8_7,2_2,65,1
Broncos  Broncos,18,19,94.7,0_0,1_1,8_8,7_7,3_2,0_0,52,0
Packers  Packers,18,24,75.0,0_0,5_5,8_7,11_6,0_0,0_0,47,0
Chargers  Chargers,17,19,89.5,0_0,6_6,1_1,7_6,5_4,0_0,59,0
Falcons  Falcons,16,20,80.0,0_0,3_3,5_5,5_3,7_5,0_0,58,1
Raiders  Raiders,16,18,88.9,0_0,3_3,6_6,4_3,5_4,0_0,54,0
Saints  Saints,16,17,94.1,0_0,3_3,5_5,6_5,3_3,0_0,57,0
Giants  Giants,16,19,84.2,0_0,4_4,6_6,7_4,2_2,0_0,52,0
Cardinals  Cardinals,16,17,94.1,0_0,2_2,6_6,6_5,3_3,0_0,57,1
Ravens  Ravens,15,19,79.0,0_0,3_3,6_6,5_4,5_2,0_0,56,0
Bills  Bills,15,18,83.3,0_0,4_4,5_5,7_4,1_1,1_1,61,0
Chiefs  Chiefs,15,17,88.2,1_1,4_4,5_5,3_3,3_2,1_0,53,0
Browns  Browns,14,18,77.8,0_0,1_1,5_5,5_4,7_4,0_0,56,1
Colts  Colts,14,17,82.4,0_0,3_3,7_7,2_2,5_2,0_0,54,0
Dolphins  Dolphins,14,18,77.8,0_0,3_3,5_5,4_2,6_4,0_0,56,0
Vikings  Vikings,14,16,87.5,0_0,3_3,5_4,3_3,5_4,0_0,58,0
Buccaneers  Buccaneers,14,15,93.3,0_0,4_4,3_3,1_1,7_6,0_0,56,0
Bengals  Bengals,13,17,76.5,0_0,4_4,3_3,4_3,6_3,0_0,56,0
Jaguars  Jaguars,13,14,92.9,0_0,4_4,3_3,5_4,2_2,0_0,53,0
Lions  Lions,12,12,100.0,0_0,3_3,5_5,3_3,1_1,0_0,51,0
Patriots  Patriots,12,15,80.0,0_0,3_3,5_4,3_2,3_2,1_1,63,1
Seahawks  Seahawks,12,15,80.0,0_0,2_2,4_4,4_3,4_3,1_0,59,1
Bears  Bears,11,13,84.6,0_0,2_2,1_1,3_2,7_6,0_0,54,1
Titans  Titans,11,11,100.0,0_0,4_4,0_0,4_4,3_3,0_0,53,0
Rams  Rams,11,13,84.6,0_0,4_4,5_4,3_2,1_1,0_0,52,0
Panthers  Panthers,10,11,90.9,0_0,3_3,2_2,6_5,0_0,0_0,48,0
Eagles  Eagles,10,13,76.9,0_0,3_3,2_2,5_5,2_0,1_0,49,1
Jets  Jets,9,15,60.0,0_0,4_4,6_4,4_1,1_0,0_0,40,1
