Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk
Lions  Lions,34.9,8,279,0,8,1,72,0,0,0,0
Cowboys  Cowboys,31.0,19,588,0,17,2,79,0,0,0,1
Seahawks  Seahawks,30.8,22,677,1,19,1,97T,0,1,1,0
Colts  Colts,30.6,10,306,0,10,1,55,0,0,0,0
Commanders  Commanders,30.3,12,364,0,12,1,62,0,0,0,0
Texans  Texans,29.1,14,407,0,13,2,45,0,0,0,0
Cardinals  Cardinals,29.0,19,550,1,17,1,96T,1,1,0,0
Bills  Bills,28.5,8,228,0,7,1,53,0,0,0,0
Buccaneers  Buccaneers,28.4,16,455,0,15,2,53,0,0,1,0
Dolphins  Dolphins,28.2,8,226,0,7,0,35,0,0,0,0
Broncos  Broncos,28.1,12,337,0,11,0,38,0,0,0,0
Bears  Bears,27.9,12,335,0,11,1,67,0,1,0,0
Packers  Packers,27.9,7,195,0,7,0,37,0,0,0,1
Bengals  Bengals,27.7,19,526,1,15,1,100T,0,1,0,0
Raiders  Raiders,27.1,9,244,0,9,0,35,0,0,0,0
49ers  49ers,26.7,10,267,0,9,0,35,0,1,1,0
Saints  Saints,26.2,21,551,0,17,1,41,0,0,0,0
Jaguars  Jaguars,26.0,16,416,0,14,2,41,0,2,1,1
Titans  Titans,25.9,16,415,0,16,0,34,0,1,0,0
Jets  Jets,25.9,16,414,0,16,0,33,0,0,0,0
Eagles  Eagles,25.6,13,333,0,12,0,34,0,0,0,1
Rams  Rams,25.5,8,204,0,8,1,41,1,0,0,1
Giants  Giants,25.4,24,610,0,22,1,47,0,2,1,0
Chiefs  Chiefs,25.0,10,250,0,7,0,32,0,0,0,0
Falcons  Falcons,24.8,16,397,0,15,0,32,0,0,0,0
Panthers  Panthers,24.8,30,744,0,24,1,43,0,1,0,0
Ravens  Ravens,24.2,19,459,0,16,0,37,0,0,1,0
Patriots  Patriots,23.7,12,284,0,9,0,30,0,0,0,0
Chargers  Chargers,23.7,6,142,0,4,0,35,0,0,1,0
Browns  Browns,22.9,22,504,0,18,0,29,1,0,1,0
Vikings  Vikings,22.4,5,112,0,3,0,27,0,0,0,0
Steelers  Steelers,21.0,7,147,0,4,0,32,0,0,2,0
