Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Ravens  Ravens,58,3758,43,74.1,15,27.3,0,0,0,0
Commanders  Commanders,58,3602,15,25.9,41,25.3,1,0,1,0
Buccaneers  Buccaneers,56,3519,43,76.8,11,28.2,2,1,0,0
Bills  Bills,55,3549,43,78.2,11,31.7,0,0,1,1
Lions  Lions,52,3410,40,76.9,12,33.5,0,0,0,0
Bengals  Bengals,51,3237,41,80.4,9,25.1,1,0,0,0
Falcons  Falcons,49,3172,29,59.2,20,27.6,0,0,0,0
49ers  49ers,49,3015,26,53.1,20,30.6,2,0,1,1
Packers  Packers,48,2992,25,52.1,21,26.3,2,0,1,0
Texans  Texans,48,2994,24,50.0,22,25.1,1,0,2,0
Saints  Saints,48,3000,12,25.0,35,24.6,1,0,0,0
Vikings  Vikings,46,2929,40,87.0,5,24.0,1,0,0,0
Seahawks  Seahawks,46,2964,25,54.4,21,24.0,0,0,0,0
Steelers  Steelers,45,2919,31,68.9,14,27.3,0,0,0,0
Broncos  Broncos,44,2762,27,61.4,15,24.3,1,0,2,0
Jaguars  Jaguars,44,2757,37,84.1,5,29.8,1,0,0,0
Chiefs  Chiefs,44,2858,35,79.6,9,30.0,0,0,0,0
Cardinals  Cardinals,44,2832,37,84.1,6,36.8,0,0,1,0
Cowboys  Cowboys,43,2543,18,41.9,21,25.0,3,1,1,0
Colts  Colts,43,2686,37,86.0,4,32.5,2,0,0,0
Raiders  Raiders,41,2427,22,53.7,16,23.7,4,0,0,0
Eagles  Eagles,41,2665,34,82.9,7,24.4,0,0,0,0
Chargers  Chargers,41,2634,29,70.7,11,27.6,0,0,1,0
Bears  Bears,40,2544,21,52.5,18,29.3,1,0,0,0
Rams  Rams,40,2602,38,95.0,2,29.5,0,0,0,0
Giants  Giants,39,2511,32,82.0,6,31.0,0,0,1,0
Browns  Browns,38,2383,19,50.0,18,27.9,1,0,0,1
Jets  Jets,37,2374,28,75.7,9,24.1,0,0,0,0
Panthers  Panthers,35,2141,15,42.9,18,24.2,1,0,2,0
Dolphins  Dolphins,35,2185,24,68.6,9,23.7,2,0,1,0
Patriots  Patriots,34,2198,26,76.5,8,24.2,0,0,0,0
Titans  Titans,32,2061,25,78.1,7,35.7,0,0,0,0
