Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM,P Blk
Lions  Lions,16.6,19,315,1,3,2,90T,6,0,0
Cowboys  Cowboys,16.2,9,146,1,2,1,60T,7,0,0
Patriots  Patriots,15.6,17,266,0,3,2,62,4,1,1
Jaguars  Jaguars,15.5,15,232,1,2,2,96T,12,1,0
Commanders  Commanders,15.0,9,135,0,2,0,24,11,1,0
Chargers  Chargers,14.7,10,147,0,1,1,53,21,0,0
Steelers  Steelers,12.9,16,206,1,2,1,73T,11,0,1
Dolphins  Dolphins,12.6,11,138,0,2,1,44,12,0,0
Chiefs  Chiefs,12.5,13,163,0,2,1,55,7,0,0
Saints  Saints,12.1,16,193,1,2,2,54T,9,2,1
Bills  Bills,11.9,15,179,0,2,0,29,5,1,0
Cardinals  Cardinals,11.8,9,106,0,1,0,27,2,0,0
Colts  Colts,11.6,12,139,0,1,0,23,8,0,1
Ravens  Ravens,11.6,11,127,0,1,0,21,10,0,0
Broncos  Broncos,11.4,17,194,0,2,0,38,13,0,0
Browns  Browns,10.4,33,345,0,1,0,28,4,0,0
Eagles  Eagles,10.1,11,111,0,1,0,28,17,1,0
Falcons  Falcons,9.9,10,99,0,1,0,28,9,0,0
Panthers  Panthers,9.8,12,118,0,0,0,16,5,0,0
Jets  Jets,9.6,22,211,0,3,1,40,11,2,1
Buccaneers  Buccaneers,9.0,11,99,0,0,0,17,8,0,0
Rams  Rams,8.7,11,96,0,1,0,38,11,0,0
Bears  Bears,8.2,14,115,0,1,0,20,7,0,1
Titans  Titans,8.1,22,179,0,0,0,18,3,2,0
Raiders  Raiders,8.1,15,121,0,2,0,24,10,1,0
Texans  Texans,7.5,24,180,0,1,0,36,15,2,0
Packers  Packers,7.5,13,97,0,1,0,39,13,2,0
Seahawks  Seahawks,7.4,13,96,0,1,0,23,15,2,1
Bengals  Bengals,7.4,17,125,0,1,0,23,6,1,0
49ers  49ers,7.0,12,84,0,0,0,16,6,1,0
Giants  Giants,6.1,16,97,0,1,0,22,9,2,0
Vikings  Vikings,6.0,12,72,0,0,0,15,4,1,1
