Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Seahawks  Seahawks,343,234,68.2,7.6,2595,11,10,89.0,128,37.3,29,3,71T,28,181
Browns  Browns,339,207,61.1,5.6,1882,10,8,76.1,87,25.7,18,0,38T,43,231
Cowboys  Cowboys,326,207,63.5,6.6,2145,12,9,83.2,98,30.1,24,3,65T,21,112
Jets  Jets,324,203,62.6,6.6,2143,16,7,89.3,107,33.0,31,2,57,20,154
Raiders  Raiders,319,211,66.1,6.4,2030,9,10,80.1,107,33.5,21,2,57,30,200
Buccaneers  Buccaneers,315,225,71.4,7.6,2389,23,9,105.6,123,39.0,27,2,55T,22,132
Giants  Giants,313,197,62.9,6.0,1886,8,5,81.5,94,30.0,18,2,43,28,163
Texans  Texans,311,196,63.0,7.2,2231,11,4,90.9,113,36.3,25,4,67T,31,236
Bengals  Bengals,302,212,70.2,7.4,2244,20,4,108.1,120,39.7,22,7,70T,20,117
Falcons  Falcons,297,205,69.0,7.9,2342,17,7,101.7,110,37.0,28,5,52,17,125
Broncos  Broncos,297,187,63.0,6.0,1786,9,6,81.3,78,26.3,29,1,49,15,102
Panthers  Panthers,290,183,63.1,5.8,1683,10,12,73.1,82,28.3,22,1,46,17,94
Saints  Saints,289,182,63.0,6.8,1976,11,6,87.1,85,29.4,22,5,70T,22,121
Patriots  Patriots,284,176,62.0,5.6,1598,8,5,79.2,79,27.8,15,2,50T,31,214
Jaguars  Jaguars,283,174,61.5,7.2,2032,11,6,87.4,97,34.3,31,4,85T,20,167
Packers  Packers,279,176,63.1,7.9,2200,18,10,94.1,96,34.4,32,8,70T,12,78
Rams  Rams,277,182,65.7,7.1,1969,9,6,88.3,89,32.1,25,3,63,17,115
Colts  Colts,269,147,54.6,7.0,1877,11,9,76.4,81,30.1,27,8,69,18,134
Chiefs  Chiefs,269,188,69.9,7.2,1942,11,9,90.1,105,39.0,21,3,54T,16,101
Bills  Bills,265,170,64.2,7.6,2006,17,2,105.3,93,35.1,30,6,63T,11,61
Bears  Bears,264,162,61.4,6.3,1665,9,5,83.0,79,29.9,18,4,47,29,208
Ravens  Ravens,256,175,68.4,9.3,2380,20,2,120.6,114,44.5,33,7,59,13,94
Commanders  Commanders,254,182,71.6,8.5,2148,11,2,108.2,104,40.9,30,6,66,18,95
Titans  Titans,253,159,62.8,6.0,1505,9,11,73.0,77,30.4,19,2,47T,21,139
Dolphins  Dolphins,253,168,66.4,6.6,1665,6,4,86.2,82,32.4,15,2,80T,20,137
Cardinals  Cardinals,252,169,67.1,7.1,1792,11,3,97.2,84,33.3,21,1,60T,14,81
49ers  49ers,242,156,64.5,8.7,2101,10,7,93.7,94,38.8,30,8,76T,16,71
Vikings  Vikings,225,157,69.8,8.6,1946,17,7,108.5,89,39.6,32,4,97T,26,169
Chargers  Chargers,225,147,65.3,7.8,1749,10,1,101.9,76,33.8,25,4,66T,24,143
Lions  Lions,219,164,74.9,8.6,1892,16,4,117.2,92,42.0,25,6,70,19,156
Steelers  Steelers,218,143,65.6,7.6,1667,8,1,98.9,70,32.1,24,4,55T,21,147
Eagles  Eagles,216,150,69.4,8.2,1774,10,4,101.9,81,37.5,26,8,67T,22,155
