Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Commanders  Commanders,25,86.2,24,100.0,0,0
Steelers  Steelers,23,95.8,16,100.0,0,1
49ers  49ers,22,95.6,18,94.7,0,0
Texans  Texans,21,84.0,18,100.0,0,0
Cowboys  Cowboys,20,90.9,13,100.0,0,1
Broncos  Broncos,18,94.7,17,100.0,0,0
Packers  Packers,18,75.0,22,100.0,0,0
Chargers  Chargers,17,89.5,12,80.0,0,0
Falcons  Falcons,16,80.0,21,100.0,0,0
Raiders  Raiders,16,88.9,14,100.0,0,0
Saints  Saints,16,94.1,19,90.5,0,1
Giants  Giants,16,84.2,7,87.5,0,0
Cardinals  Cardinals,16,94.1,19,100.0,1,0
Ravens  Ravens,15,79.0,34,100.0,0,0
Bills  Bills,15,83.3,27,90.0,0,0
Chiefs  Chiefs,15,88.2,20,95.2,0,0
Browns  Browns,14,77.8,10,83.3,0,0
Colts  Colts,14,82.4,20,100.0,0,0
Dolphins  Dolphins,14,77.8,10,100.0,0,0
Vikings  Vikings,14,87.5,23,100.0,0,0
Buccaneers  Buccaneers,14,93.3,27,96.4,0,0
Bengals  Bengals,13,76.5,25,96.2,1,0
Jaguars  Jaguars,13,92.9,18,100.0,0,1
Lions  Lions,12,100.0,30,96.8,0,1
Patriots  Patriots,12,80.0,13,100.0,0,0
Seahawks  Seahawks,12,80.0,22,95.6,1,0
Bears  Bears,11,84.6,15,93.8,0,0
Titans  Titans,11,100.0,15,100.0,0,0
Rams  Rams,11,84.6,15,88.2,0,0
Panthers  Panthers,10,90.9,15,100.0,0,0
Eagles  Eagles,10,76.9,19,100.0,0,0
Jets  Jets,9,60.0,16,94.1,0,0
